genotype,plant,surface,leafdisc,non_glandular,sum_glandular,type_VI,type_I_IV,date,person
PI127826 x LA1777,4,adaxial,1,3.2,4.9,3.3,1.2,12/5/'17,Lissy
PI127826 x LA1777,4,adaxial,2,5.1,3.3,0.3,2.7,12/5/'17,Lissy
PI127826 x LA1777,4,abaxial,1,2.5,9.8,1.8,7.6,12/5/'17,Lissy
PI127826 x LA1777,4,abaxial,2,4.3,3.7,0.4,2.7,12/5/'17,Lissy
PI127826 x LA1777,1,adaxial,1,2.6,9.0,3.9,6.3,12/5/'17,Lissy
PI127826 x LA1777,1,adaxial,2,3.6,11.2,6.1,4.9,12/5/'17,Lissy
PI127826 x LA1777,1,abaxial,1,3.9,9.2,3.0,5.9,12/5/'17,Lissy
PI127826 x LA1777,1,abaxial,2,2.5,10.4,2.0,8.1,12/5/'17,Lissy
PI127826 x LA1777,3,adaxial,1,2.5,16.2,11.8,4.1,12/5/'17,Lissy
PI127826 x LA1777,3,adaxial,2,1.8,15.8,8.4,7.2,12/5/'17,Lissy
PI127826 x LA1777,3,abaxial,1,1.0,17.3,6.0,11.3,12/5/'17,Lissy
PI127826 x LA1777,3,abaxial,2,2.2,14.7,4.5,10.1,12/5/'17,Lissy
