"diff"	"lwr"	"upr"	"p adj"
"PI127826-CV"	17.20695556725	5.75540009838781	28.6585110361122	0.00101257764080176
"F1-CV"	1.85256369119999	-9.09721768301106	12.802345065411	0.999550912347434
"F2-151-CV"	0.0960111200000009	-17.2171133916977	17.4091356316977	1
"F2-411-CV"	-0.0644199250000055	-11.5159753938622	11.3871355438622	1
"F2-445-CV"	-0.47108888375001	-11.9226443526122	10.9804665851122	0.999999992281519
"F2-28-CV"	19.032749646	5.34552292823617	32.7199763637638	0.00247212118768692
"F2-73-CV"	8.96727264675	-2.48428282211218	20.4188281156122	0.20985632381181
"F2-127-CV"	10.98673045675	-0.464825012112186	22.4382859256122	0.0667191289097605
"F1-PI127826"	-15.35439187605	-25.4124083117431	-5.2963754403569	0.000836482875796074
"F2-151-PI127826"	-17.11094444725	-33.8743051734052	-0.347583721094828	0.0430325490100788
"F2-411-PI127826"	-17.27137549225	-27.8734557189829	-6.66929526551711	0.000370909758401594
"F2-445-PI127826"	-17.678044451	-28.2801246777329	-7.07596422426711	0.000274004930182259
"F2-28-PI127826"	1.82579407874999	-11.1590493050233	14.8106374625233	0.999885871048041
"F2-73-PI127826"	-8.23968292049999	-18.8417631472329	2.3623973062329	0.217216502788287
"F2-127-PI127826"	-6.2202251105	-16.8223053372329	4.38185511623289	0.55211952984788
"F2-151-F1"	-1.75655257119999	-18.1812246325166	14.6681194901166	0.999985795979497
"F2-411-F1"	-1.9169836162	-11.9750000518931	8.1410328194931	0.998940191759491
"F2-445-F1"	-2.32365257495	-12.3816690106431	7.73436386074309	0.995973593655354
"F2-28-F1"	17.1801859548	4.63563545716506	29.7247364524349	0.00292189282824529
"F2-73-F1"	7.11470895555	-2.9433074801431	17.1727253912431	0.319385528145171
"F2-127-F1"	9.13416676555	-0.923849670143101	19.1921832012431	0.0949505997504557
"F2-411-F2-151"	-0.160431045000006	-16.9237917711552	16.6029296811552	1
"F2-445-F2-151"	-0.567100003750011	-17.3304607299052	16.1962607224052	0.999999998374057
"F2-28-F2-151"	18.936738526	0.573396907377248	37.3000801446227	0.0398608279053096
"F2-73-F2-151"	8.87126152675	-7.89209919940517	25.6346222529052	0.673476604814311
"F2-127-F2-151"	10.89071933675	-5.87264138940517	27.6540800629052	0.423550911047446
"F2-445-F2-411"	-0.406668958750005	-11.0087491854829	10.1954112679829	0.999999995577456
"F2-28-F2-411"	19.097169571	6.1123261872267	32.0820129547733	0.00130516256651803
"F2-73-F2-411"	9.03169257175	-1.57038765498289	19.6337727984829	0.137467115509124
"F2-127-F2-411"	11.05115038175	0.449070155017106	21.6532306084829	0.0367340778253626
"F2-28-F2-445"	19.50383852975	6.5189951459767	32.4886819135233	0.00101694414331666
"F2-73-F2-445"	9.43836153050001	-1.16371869623288	20.0404417572329	0.107045390818167
"F2-127-F2-445"	11.4578193405	0.855739113767111	22.0598995672329	0.0276317203187852
"F2-73-F2-28"	-10.06547699925	-23.0503203830233	2.9193663845233	0.21976768921179
"F2-127-F2-28"	-8.04601918924999	-21.0308625730233	4.9388241945233	0.483468541280632
"F2-127-F2-73"	2.01945781	-8.5826224167329	12.6215380367329	0.998944737966729
