"target_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc00g500063"	64889.607714192	-0.354614380076705	1.30749689705528	-0.27121623070415	0.786224730368795	0.977142965152942
"Solyc00g500064"	42582.9642270797	-0.382907832787822	1.60339269566508	-0.238811012313484	0.811252130677537	0.982159041690063
"Solyc00g020020"	376.94408240236	0.977273373173861	1.61721727780188	0.604293181001732	0.545648739119638	0.938843606571253
"Solyc00g019980"	456.557910627301	1.57851273952832	1.47672255836574	1.06892979360675	0.28510130570284	0.829904890068665
"Solyc00g021640"	172.461536178726	1.49360860083039	1.34604604759565	1.10962667547542	0.267159931449796	0.821145908560522
"Solyc01g005010"	130.987964162613	0.842645918329975	1.49255812829524	0.564564891882918	0.572369750601938	0.945105530671429
"Solyc01g005020"	3604.28952435244	-0.460607981295885	0.344273659829143	-1.33791235008939	0.180925010751211	0.746746061289378
"Solyc01g005030"	1445.78550735498	-0.284628374865432	0.538179109885705	-0.528872952586138	0.596893585973707	0.950650959503846
"Solyc01g005080"	1574.63302708534	0.04531598432271	0.638201472080861	0.0710057658985913	0.943393166552743	0.99635714254511
"Solyc01g005100"	176.735818537695	0.0759244093228153	0.877594977530311	0.0865141793956917	0.93105768480524	0.995585673276416
"Solyc01g005110"	143.447390553254	-0.283926857517927	1.40869925588474	-0.201552500529722	0.840266582113589	0.986319438971245
"Solyc01g005120"	153.361644526844	0.822979621320692	0.928260091550136	0.886583004927388	0.375303447130094	0.881698779972445
"Solyc01g005130"	443.908413019398	0.0284970506367236	0.836371594163896	0.0340722363547169	0.972819547805088	0.998895726620998
"Solyc01g005210"	5084.44223020255	-0.398899525672716	0.508057702560701	-0.785146103803154	0.432367911149836	0.904817417951085
"Solyc01g005220"	174.212599684987	0.278038007672387	0.982769465136156	0.282912745598853	0.777243723994106	0.976707311369629
"Solyc01g005240"	1137.47369334103	0.270349072098015	0.508776334145783	0.531371162441982	0.595161600920734	0.950431267549223
"Solyc01g005250"	928.708918881788	0.422622478033045	0.749675243517205	0.563740741991496	0.572930585659956	0.945105530671429
"Solyc01g005253"	178.808308561978	-0.813587617399371	0.595704077216829	-1.3657580139463	0.172014928641154	0.732973635283276
"Solyc01g005257"	740.640881735877	-0.265392413298282	0.658921510504758	-0.402767870022914	0.687118999742911	0.962009333333718
"Solyc01g005280"	2424.50443339144	-1.1675696935596	0.679403359922505	-1.71852210694509	0.0857014256856767	0.58105906606802
"Solyc01g005290"	705.858070907633	0.640057607731783	1.35759101332317	0.471465707602925	0.63730820279733	0.959185243050839
"Solyc01g005300"	10304.5557086996	-0.266567808444813	0.846283750660054	-0.314986324902145	0.752772036916513	0.972975189746281
"Solyc01g005330"	4769.71218077942	-0.501033532038751	0.419625124597196	-1.1940027006717	0.232476911629324	0.79244518227854
"Solyc01g005340"	2127.17966026932	-0.729991534429821	0.404658950328015	-1.80396735037763	0.0712364254620047	0.540656980410663
"Solyc01g005350"	2779.83858156076	1.41395462160318	2.4757919373918	0.571112055196669	0.567923687336648	0.945105530671429
"Solyc01g005360"	297.370567984015	1.26191934982995	3.33257506434875	0.378661943231142	0.704938917333817	0.965496979867433
"Solyc01g005370"	274.746653458285	-0.948213414022923	0.635680515575309	-1.49165090134116	0.13579068676617	0.683291065049004
"Solyc01g005380"	178.208079585813	0.674626452021188	1.18817338172153	0.567784518993119	0.570181293000939	0.945105530671429
"Solyc01g005410"	436.931675325958	0.87002717252814	0.760991102600431	1.1432816619736	0.252921666276108	0.806326211272094
"Solyc01g005420"	110.217460249633	0.596512923088861	2.18996210527856	0.272385043399181	0.78532597172779	0.977142965152942
"Solyc01g005430"	182.637732289115	-0.543191438459614	0.663176359275864	-0.819075395046857	0.41274339901905	0.895566758040839
"Solyc01g005440"	1374.4663096399	0.0626727315114596	0.877961925330415	0.071384338777417	0.943091873654807	0.99635714254511
"Solyc01g005470"	630.661764711065	-1.46166501080072	1.04386220110664	-1.40024709128384	0.161439338561465	0.718601933840669
"Solyc01g005480"	147.330960880013	-0.271047929130786	0.85944391876988	-0.315375934614484	0.752476236614926	0.972975189746281
"Solyc01g005490"	1195.53863612769	-0.101373848477294	0.82560030655102	-0.122788046071334	0.902274940478679	0.994110364501428
"Solyc01g005520"	1231.58996024354	-0.349540730157814	0.73470116438108	-0.475759052937217	0.63424604467693	0.959055450814484
"Solyc01g005540"	536.355409594648	-0.570109159287147	0.676151490813548	-0.843167791586453	0.399134608967721	0.892165709216123
"Solyc01g005550"	2169.46530690189	0.138476631672753	0.453143620052707	0.305591043423819	0.759916040767284	0.974294128318529
"Solyc01g005560"	10979.3614819771	-0.989494494151579	0.615139002873086	-1.60857056621352	0.107710274570569	0.631979711285444
"Solyc01g005570"	620.262142926154	-0.171984615880063	0.475085375284418	-0.362007809179775	0.717346194793991	0.968273404338982
"Solyc01g005580"	1091.92486660271	-0.575608036704231	0.476960548358515	-1.20682525773928	0.227499446762396	0.791136781137629
"Solyc01g005590"	145.778576207219	0.477948781281214	2.25884946444615	0.211589478982125	0.832427318053679	0.985506096257547
"Solyc01g005600"	832.7748497523	-0.178252120481108	0.827313808862961	-0.215458896698573	0.829409555147313	0.985501276535867
"Solyc01g005620"	3577.4581089194	0.0941731426559707	0.68436610229002	0.137606381059567	0.890551512153808	0.992855798210664
"Solyc01g005640"	316.074384441885	-0.177785185070999	0.597235018050202	-0.297680443540326	0.765947070918579	0.975216115790655
"Solyc01g005670"	70.5231603839464	1.32970832403109	1.1303573969308	1.1763609701158	0.239450661300963	0.796685000896863
