IDENTIFIER	VALUE
Solyc01g005253	0.016294026
Solyc01g005257	0.139952467
Solyc01g005280	0.648361395
Solyc01g005290	0.548685057
Solyc01g005300	-0.037712789
Solyc01g005320	1.098398573
Solyc01g005330	0.193816595
Solyc01g005340	-0.035436257
Solyc01g005350	0.747522874
Solyc01g005360	1.317505057
Solyc01g005370	0.470145458
Solyc01g005380	0.28344522
Solyc01g005400	-0.947058483
Solyc01g005410	-1.039412787
Solyc01g005420	-0.193703798
Solyc01g005430	-0.064964092
Solyc01g005440	-0.398046882
Solyc01g005450	0.046759094
Solyc01g005460	0.324559254
Solyc01g005470	0.82493927
Solyc01g005480	-0.031783478
Solyc01g005490	0.606722305
Solyc01g005500	0.303058363
Solyc01g005520	-0.103605808
Solyc01g005530	-0.759198903
Solyc01g005540	0.039163008
Solyc01g005550	-0.273509543
Solyc01g005560	-0.002669753
Solyc01g005570	0.164628847
Solyc01g005580	0.379855595
Solyc01g005590	0.838001734
Solyc01g005600	-0.036691227
Solyc01g005620	0.14379038
Solyc01g005640	-0.069236925
Solyc01g005670	-0.177452337
Solyc01g005680	-0.801005535
Solyc01g005690	0.246998994
Solyc01g005700	-0.106117781
Solyc01g005730	-1.304773751
Solyc01g005740	0.644384002
Solyc01g005760	-1.029262363
Solyc01g005770	1.278243469
Solyc01g005780	-0.439455971
Solyc01g005787	-0.102787969
Solyc01g005790	-0.033024587
Solyc01g005800	-0.885955428
Solyc01g005810	-0.288178711
Solyc01g005820	-0.085815697
Solyc01g005830	0.187898473
Solyc01g005840	-0.097059971
Solyc01g005850	0.120939454
Solyc01g005870	-0.946455512
Solyc01g005900	0.570835442
Solyc01g005910	0.881294095
Solyc01g005920	0.293680591
Solyc01g005930	0.045385252
Solyc01g005950	0.256039333
Solyc01g005960	0.192949949
Solyc01g005970	0.017619709
Solyc01g005980	0.138159903
Solyc01g005985	1.134571307
Solyc01g006000	0.3107408
Solyc01g006010	-0.130290285
Solyc01g006020	-0.028629272
Solyc01g006040	0.075045523
Solyc01g006050	-1.268697812
Solyc01g006090	-0.234025002
Solyc01g006100	0.430420047
Solyc01g006110	0.093011375
Solyc01g006120	0.196870095
Solyc01g006130	0.474393099
Solyc01g006140	0.657808161
Solyc01g006150	0.17850814
Solyc01g006160	-0.000573089
Solyc01g006170	-0.240251555
Solyc01g006180	-0.063859119
Solyc01g006190	-0.253635882
Solyc01g006200	-0.198250297
Solyc01g006210	0.445411755
Solyc01g006220	0.140757021
Solyc01g006230	-0.041428528
Solyc01g006250	-0.609027702
Solyc01g006260	0.082058423
Solyc01g006280	0.226510926
Solyc01g006290	-0.158778952
Solyc01g006300	-0.575169184
Solyc01g006320	-0.00362269
Solyc01g006330	-0.162184257
Solyc01g006340	-0.528734548
Solyc01g006350	0.171824975
Solyc01g006360	0.298642307
Solyc01g006370	0.350418274
Solyc01g006400	0.201352548
Solyc01g006410	-0.477600713
Solyc01g006420	-0.525128117
Solyc01g006430	1.040967976
Solyc01g006440	3.947290848
Solyc01g006450	0.601376123
Solyc01g006480	-0.042710646
Solyc01g006490	-0.248783673
Solyc01g006500	0.13184097
Solyc01g006510	-0.20231886
Solyc01g006520	-1.069229926
Solyc01g006540	2.490961015
Solyc01g006550	-1.465818264
Solyc01g006555	0.044062776
Solyc01g006580	-0.281572357
Solyc01g006585	2.598079547
Solyc01g006610	-1.330895279
Solyc01g006620	-2.30090319
Solyc01g006630	0.152600219
Solyc01g006650	0.312613232
Solyc01g006660	-0.645301738
Solyc01g006670	0.061341429
Solyc01g006680	-0.015576085
Solyc01g006690	-0.949762844
Solyc01g006700	0.249009868
Solyc01g006710	-0.229266134
Solyc01g006720	-1.451417077
Solyc01g006740	0.451569302
Solyc01g006790	-0.642391856
Solyc01g006800	0.002172694
Solyc01g006810	0.713409464
Solyc01g006820	0.542270989
Solyc01g006830	0.261527638
Solyc01g006850	0.023511207
Solyc01g006860	0.13482889
Solyc01g006870	0.580411797
Solyc01g006880	-0.204844704
Solyc01g006890	-0.291489037
Solyc01g006900	-0.456276341
Solyc01g006920	-0.022549474
Solyc01g006930	-0.139716833
Solyc01g006940	0.081554582
Solyc01g006950	-0.040569551
Solyc01g006960	0.172899072
Solyc01g006970	-0.414246674
Solyc01g006980	0.043379583
Solyc01g006990	-0.086774849
Solyc01g007000	1.455742122
Solyc01g007010	0.039342657
Solyc01g007020	0.313342487
Solyc01g007030	0.510872787
Solyc01g007040	-0.801483983
Solyc01g007060	0.156686784
Solyc01g007070	-0.033839997
Solyc01g007080	0.824063654
Solyc01g007100	0.148973566
Solyc01g007110	-0.018204709
Solyc01g007120	-0.17372747
Solyc01g007130	-0.647056402
Solyc01g007140	-0.204012099
Solyc01g007150	0.317653162
Solyc01g007160	1.430280808
Solyc01g007170	0.073815374
Solyc01g007180	0.03202389
Solyc01g007190	-1.088300669
Solyc01g007220	-0.118648588
Solyc01g007230	0.156129106
Solyc01g007250	-0.116795864
Solyc01g007260	-1.648083197
Solyc01g007267	-0.12512603
Solyc01g007740	0.120823668
Solyc01g007750	-0.186079855
Solyc01g007760	0.180566118
Solyc01g007770	-0.268038847
Solyc01g007780	-0.246944502
Solyc01g007790	-0.023902243
Solyc01g007800	0.310641215
Solyc01g007810	-0.039238168
Solyc01g007840	0.000571092
Solyc01g007850	-0.167634667
Solyc01g007860	0.152395575
Solyc01g007870	0.548482031
Solyc01g007880	-0.030778063
Solyc01g007890	-1.159712718
Solyc01g007900	-0.035536457
Solyc01g007910	0.04162641
Solyc01g007920	0.111135243
Solyc01g007930	-0.398986492
Solyc01g007950	0.84680981
Solyc01g007960	-1.38752355
Solyc01g007980	-0.470067495
Solyc01g007990	-0.625014207
Solyc01g008000	-0.328563713
Solyc01g008010	0.217179685
Solyc01g008020	-0.214472596
Solyc01g008060	0.099140488
Solyc01g008070	0.167717175
Solyc01g008080	-0.243412627
Solyc01g008090	0.225336872
Solyc01g008100	0.279639744
Solyc01g008110	-0.242513294
Solyc01g008120	0.019707086
Solyc01g008130	0.105198576
Solyc01g008140	-0.348891577
Solyc01g008160	0.119475593
Solyc01g008170	-0.132920416
Solyc01g008180	0.152894474
Solyc01g008190	-0.01955441
Solyc01g008200	-0.171009635
Solyc01g008220	-0.012562664
Solyc01g008230	0.01152714
Solyc01g008250	-0.102526877
Solyc01g008260	-0.279149336
Solyc01g008270	-0.114478876
Solyc01g008280	-0.2651364
Solyc01g008290	-0.092708302
Solyc01g008300	-0.518177182
Solyc01g008310	0.354707616
Solyc01g008320	0.478314983
Solyc01g008330	0.409553366
Solyc01g008340	-0.010528225
Solyc01g008360	-0.313570183
Solyc01g008370	-0.033286762
Solyc01g008390	-0.762054715
Solyc01g008400	-1.292773514
Solyc01g008410	-2.406319696
Solyc01g008420	-1.320709326
Solyc01g008440	0.120534958
Solyc01g008460	-0.250882185
Solyc01g008470	0.564966416
Solyc01g008480	-0.015723598
Solyc01g008490	-0.266087108
Solyc01g008500	0.10682108
Solyc01g008510	-0.215719703
Solyc01g008520	-0.184494752
Solyc01g008530	-0.014809344
Solyc01g008550	-0.029808628
Solyc01g008560	0.009592121
Solyc01g008600	-0.562290246
Solyc01g008620	-0.418219791
Solyc01g008640	-2.43847449
Solyc01g008650	-1.812503611
Solyc01g008660	-0.09888773
Solyc01g008670	0.399779578
Solyc01g008700	0.018040086
Solyc01g008730	-0.270409913
Solyc01g008760	0.075774963
Solyc01g008770	0.2311812
Solyc01g008780	-0.495613679
Solyc01g008790	0.616358371
Solyc01g008800	0.385402445
Solyc01g008810	-0.335486484
Solyc01g008820	0.259320271
Solyc01g008830	-1.025165301
Solyc01g008840	-0.055941498
Solyc01g008850	-1.153582281
Solyc01g008890	-0.305600673
Solyc01g008900	-0.184596975
Solyc01g008910	-2.993561108
Solyc01g008920	-0.527778591
Solyc01g008930	-0.501416814
Solyc01g008950	-0.084025906
Solyc01g008960	0.180860351
Solyc01g008970	-0.110391816
Solyc01g008980	-0.141919801
Solyc01g008990	-0.121447836
Solyc01g009000	0.09246219
Solyc01g009010	0.780418456
Solyc01g009020	0.823409957
Solyc01g009030	0.400997179
Solyc01g009040	-0.162820418
Solyc01g009050	0.251106466
Solyc01g009060	-0.1926873
Solyc01g009070	-0.353394447
Solyc01g009080	-0.622399
Solyc01g009090	-0.283185379
Solyc01g009100	0.272955548
Solyc01g009120	-0.44911903
Solyc01g009145	0.135474593
Solyc01g009160	-0.355335926
Solyc01g009170	-1.067326592
Solyc01g009180	0.122918471
Solyc01g009200	-1.379231627
Solyc01g009230	-0.175661792
Solyc01g009245	-0.261663805
Solyc01g009250	-0.34635351
Solyc01g009280	0.051692733
Solyc01g009290	-0.191579438
Solyc01g009300	0.337937931
Solyc01g009310	-0.246104469
Solyc01g009340	-1.33409713
Solyc01g009380	0.379794741
Solyc01g009390	-0.119598693
Solyc01g009420	-0.403277426
Solyc01g009430	-0.257605713
Solyc01g009443	-0.292864108
Solyc01g009447	0.407341791
Solyc01g009480	0.469864843
Solyc01g009500	0.658666822
Solyc01g009520	-0.045259319
Solyc01g009565	0.289069772
Solyc01g009610	0.161175318
Solyc01g009620	0.036027002
Solyc01g009630	-0.026010348
Solyc01g009670	-0.025230587
Solyc01g009690	-2.389782559
Solyc01g009750	-0.349415187
Solyc01g009770	-1.101112374
Solyc01g009780	0.039474687
Solyc01g009790	0.187277059
Solyc01g009820	-0.015689184
Solyc01g009850	0.073024172
Solyc01g009860	0.032358819
Solyc01g009890	1.732496076
Solyc01g009900	0.078414746
Solyc01g009940	-1.910482187
Solyc01g009960	0.952537138
Solyc01g009970	0.163047866
Solyc01g009980	-0.259874579
Solyc01g009990	0.240008197
Solyc01g010000	-0.085448985
Solyc01g010020	-0.075617711
Solyc01g010030	-0.596601138
Solyc01g010050	-0.407769243
Solyc01g010060	-0.393099423
Solyc01g010130	-0.192456131
Solyc01g010150	-0.327769626
Solyc01g010180	0.486820477
Solyc01g010185	-1.020699053
Solyc01g010215	0.849626318
Solyc01g010220	-0.260836271
Solyc01g010230	-0.001249306
Solyc01g010250	0.020688389
Solyc01g010270	0.271036483
Solyc01g010280	-1.313291351
Solyc01g010290	0.321922359
Solyc01g010310	0.400170884
Solyc01g010365	1.259821111
Solyc01g010370	0.256680487
Solyc01g010390	-0.454139749
Solyc01g010410	-1.34593879
Solyc01g010430	-0.027630671
Solyc01g010440	-0.52581755
Solyc01g010460	-0.254657155
Solyc01g010470	0.140495019
Solyc01g010480	-0.425765198
Solyc01g010490	0.005495642
Solyc01g010510	-0.008305491
Solyc01g010520	-0.150544029
Solyc01g010540	-0.242866407
Solyc01g010570	-0.343885586
Solyc01g010580	-0.162201241
Solyc01g010590	0.061344774
Solyc01g010640	-0.342687328
Solyc01g010650	0.078247939
Solyc01g010660	-0.310646994
Solyc01g010700	-0.511194832
Solyc01g010710	1.022246309
Solyc01g010750	-0.105503983
Solyc01g010760	0.341076657
Solyc01g010780	0.030787415
Solyc01g010810	0.106238184
Solyc01g010820	0.075462037
Solyc01g010830	0.441046701
