target_id	CV	F1	F1_hab	F2_127	F2_151	F2_28	F2_411	F2_445	F2_73	PI127826
Solyc00g007990	0	0	0	0	0	0	0	0	0	0
Solyc00g008000	0	0	0	0	0	0	0	0	0	0
Solyc00g008010	0	0	0	0	0	0	0	0	0	0
Solyc00g008020	0	0	0	0	0	0	0	0	0	0
Solyc00g008030	0	0	0	0	0	0	0	0	0	0
Solyc00g008040	0	0	0	0	0	0	0	0	0	0
Solyc00g008050	0	0	0	0	0	0	0	0	0	0
Solyc00g008055	0	0	0	0	0	0	0	0	0	0
Solyc00g008060	0	0	0	0	0	0	0	0	0	0
Solyc00g008070	0	0	0	0	0	0	0	0	0	0
Solyc00g008080	0	0	0	0	0	0	0	0	0	0
Solyc00g008090	0	0	0	0	0	0	0	0	0	0
Solyc00g008100	0	0	0	0	0	0	0	0	0	0
Solyc00g008110	0	0	0	0	0	0	0	0	0	0
Solyc00g008120	0	0	0	0	0	0	0	0	0	0
Solyc00g008130	0	0	0	0	0	0	0	0	0	0
Solyc00g008140	0	0	0	0	0	0	0	0	0	0
Solyc00g008150	0	0	0	0	0	0	0	0	0	0
Solyc00g008160	0	0	0	0	0	0	0	0	0	0
Solyc00g008165	0	0	0	0	0	0	0	0	0	0
Solyc00g008260	0	0	0	0	0	0	0	0	0	0
Solyc00g008265	0	0	0	0	0	0	0	0	0	0
Solyc00g008270	0	0	0	0	0	0	0	0	0	0
Solyc00g008570	2	1	0	0	0	0	1.07756	0	0	0
Solyc00g008580	0	0	0	0	0	4.54885	0	16.979	0	0
Solyc00g008680	3833	3090	4147	2632	1432	3074	2416	2700	2236	4936
Solyc00g008800	0	0	0	0	0	0	0	0	0	0
Solyc00g008910	0	0	0	0	0	0	0	0	0	0
Solyc00g008915	0	0	0	0	0	0	0	0	0	0
Solyc00g009020	8829	5641	9860	3408	3465	6723	5217	3665	5170	11360
Solyc00g009030	2	3	1	15	15	3	1	9	9	0
Solyc00g009040	9	3	0	5	16	28	30	23	8	4
Solyc00g009050	23	8	14	9	0	25	9	19	14	14
Solyc00g009060	545	277	369	137	155	240	225	220	230	586
Solyc00g009070	0	0	0	0	0	0	0	0	0	0
Solyc00g009080	499	291	480	197	222	332	217	327	386	432
Solyc00g009090	8	34	12	15	52	41	121	33	46	53
Solyc00g009100	589	417	387	472	433	867	516	421	689	269
Solyc00g009110	2625	3282	4854	3647	4063	2501	3297	2297	4901	3820
Solyc00g009120	987	507.365	29.1215	21	320	165	340	130.366	26	69.4217
Solyc00g009140	2070	1102.63	269.878	522	312	562	360	315.634	422	735.578
Solyc00g009141	1075	642	908	234	118	230	171	158	256	1388
Solyc00g009142	0	0	0	0	0	0	0	0	0	0
Solyc00g009143	0	0	0	0	0	0	0	0	0	0
Solyc00g009144	0	0	0	0	0	0	0	0	0	0
Solyc00g009145	0	0	0	0	0	0	0	0	0	0
Solyc00g009146	0	0	4.7929	1	0	0	0	0	1.18935	0
Solyc00g009148	0	0	0	0	1.00983	0	0	0	0	0
Solyc00g009540	0	0	0	0	0	1	0	0	0	0
Solyc00g009650	0	0	0	0	0	0	0	0	0	0
Solyc00g009760	8139.69	2904.24	2802.8	6933.9	5039.81	4916.83	8271.67	16292.4	5927.85	3928.72
Solyc00g009765	0	0	0	0	0	0	0	0	0	0
Solyc00g010410	0	0	0	0	0	0	0	0	0	0
Solyc00g010420	0	0	0	0	0	0	0	0	0	0
Solyc00g010520	0	0	0	0	0	0	0	0	0	0
Solyc00g010525	4.01573	1.01622	6.02027	17.9129	5.21317	6.33647	7.12596	36.7423	8.15888	206.563
Solyc00g010530	0.00984062	1.79E-08	17.029	1.93E-06	0.00276881	0	0.000162162	0.000335355	27.7381	0
Solyc00g010750	0	1	0	3.67441	3.81957	5.93947	1.1	0	7.87664	15.0421
Solyc00g010755	0	0	0	0	0	0	0	0	0	0
Solyc00g010760	0	0	0	0	0	0	0	0	0	0
Solyc00g010780	0	0	0	0	0	0	0	0	0	0
Solyc00g010930	0	0	0	1	0	0	0	0	0	0
Solyc00g011150	12.0315	3	2	14.2906	13.0155	5	6	31	12	0
Solyc00g011160	83.9879	39.985	76.985	79.2336	42.8082	54.7207	38.8877	88.4961	16.8575	247.668
Solyc00g011170	1557	750.991	333.983	49	39	26	55	121	63	739
Solyc00g011175	0	0	0	0	0	0	0	0	0	0
Solyc00g011670	0	0	0	0	0	0	0	0	0	0
Solyc00g011673	0	0	0	0	0	0	0	0	0.617761	0
Solyc00g011677	1.26444	0	0	0	0	1	0	0	1	0
Solyc00g011870	0	109	202	0	33	37	53	20	29	234
Solyc00g011880	415	201	433	160	191	243	1	101	123	0
Solyc00g011890	4896	5208	1902	5605	5960	3815	2910	2808	4819	1860
Solyc00g011895	0	0	0	0	0	0	0	0	0	0
Solyc00g012430	1251.5	496.38	545.867	94.9281	107.658	98.1174	157.247	281.827	27.7381	444.329
Solyc00g012435	0	0	0	0	0	0	0	1	0	0
Solyc00g012440	93	73	29	312	55	46	33	65	23	147
Solyc00g012540	0	0	0	1	0	0	0	0	0	0
Solyc00g012640	0	0	0	0	0	0	0	0	0	0
Solyc00g012650	0	0	0	0	0	0	0	0	0	0
Solyc00g012660	0	0	0	0	0	0	0	0	0	0
Solyc00g012670	0	0	0	0	0	0	0	0	0	0
Solyc00g012680	0	0	0	0	0	0	0	0	0	0
Solyc00g012690	0	0	0	0	0	0	0	0	0	0
Solyc00g012700	0	0	0	0	0	0	0	0	0	0
Solyc00g012702	0	0	0	0	0	0	0	0	0	0
Solyc00g012704	0	0	0	0	2	0	0	0	0	0
Solyc00g012706	0	0	0	0	0	0	0	1	0	0
Solyc00g012708	0	0	0	0	0	0	0	0	0	0
Solyc00g013110	0	0	0	4	5	1	10	22	5	7
Solyc00g013120	3	5	7	29	53	15	41	88	15	7
Solyc00g013130	0	0	0	3.08572	0	0	0	0	0	0
Solyc00g013133	0	0	0	0	0	0.178409	0	6.30391	0	0
Solyc00g013137	0	1.06598	0	10.8981	1.36363	3.96342	10.1427	33.9566	1.37786	0
Solyc00g013140	76	74	48	236	162	75	275	653	90	35
Solyc00g013150	17	34	24	80	49	24	84	212	41	43
Solyc00g013155	36	28	55	289	211	81	314	737	177	69
Solyc00g013160	10	16	8	37	22	32	47	121	22	17
Solyc00g013170	18	14	10	59	31	28	51	332	22	7
Solyc00g013180	18	15	11	48	28	4	53	188	23	3
Solyc00g013181	5	2	4	49	11	6	43	196	8	16
Solyc00g013183	0	0	0	0	0	0	0	0	0	0
Solyc00g013184	0	0	0	0	0	1	0	0	0	0
Solyc00g013185	0	0	0	0	0	0	0	0	0	0
Solyc00g013186	0	0	0	0	0	0	0	0	0	0
Solyc00g013188	0	0	0	0	0	0	0	0	0	0
Solyc00g014170	0	0	0	0	0	0	0	0	0	0
Solyc00g014180	0	0	0	0	0	0	0	0	0	0
Solyc00g014190	0	0	0	0	0	0	0	0	0	0
Solyc00g014290	0	0	0	0	0	0	0	0	0	0
Solyc00g014390	0	0	0	0	0	0	0	0	0	0
Solyc00g014395	0	0	0	1	0	0	0	0	2	0
Solyc00g014790	2	9	16	24	10	3	36	41	19	16
Solyc00g014800	8	2	0	6	5	3	4	3	4	9
Solyc00g014810	0	3	0	8	3	1	4	4	5	5
Solyc00g014820	0	16	10	34	47	17	45	55.2178	56	32
Solyc00g014830	49.8582	51	54	64.8786	63	29	54.8548	169	26	72
Solyc00g014840	9	10	9	16	23	6	23	112	6	10
Solyc00g014850	8	3	12	32	30	2	32	203	14	8
Solyc00g014860	0	0	0	1	2	0	0	7	1	3
Solyc00g014960	0	0	0	0	0	0	0	0	0	0
Solyc00g014970	0	0	0	0	0	0	0	0	0	0
Solyc00g014980	0	0	0	0	0	0	0	0	0	0
Solyc00g014990	0	0	0	0	0	0	0	0	0	0
Solyc00g014995	0	0	0	0	0	0	0	0	0	0
Solyc00g015000	0	0	0	0	0	0	0	0	0	0
Solyc00g015600	11.5	13	1.5	1	7	17.5	11.5	21.5	8	0.5
Solyc00g015720	0	0	0	0	0	0	0	0	0	0
Solyc00g015730	0	0	0	0	0	0	0	0	0	0
Solyc00g015733	0	0	0	0	0	0	0	0	0	0
Solyc00g015735	0	0	0	0	0	0	0	0	0	0
Solyc00g015737	0	0	0	0	0	0	0	0	0	0
Solyc00g016470	0	0	0	0	0	0	0	0	0	0
Solyc00g016480	0	0	0	0	0	0	0	0	0	0
Solyc00g016490	0	0	0	0	0	0	0	0	0	0
Solyc00g016590	0	0	0	0	0	0	0	0	0	0
Solyc00g016790	0	0	0	0	0	0	0	0	0	0
Solyc00g016900	0	0	0	0	0	0	0	0	0	0
Solyc00g016910	0	0	0	0	0	0	0	0	0	0
Solyc00g016915	0	4	0	16	22	5	20	16	0	23
Solyc00g017210	0	1	1	0	0	2	0	0	0	0
Solyc00g017220	0	0	0	0	0	0	0	0	0	0
Solyc00g017230	0	0	0	0	0	0	0	0	0	0
Solyc00g017235	0	0	0	0	0	0	0	0	0	0
Solyc00g017540	0	0	0	0	0	0	0	0	0.00978795	0
Solyc00g017550	0	0	0	4	5	0	0	0	0.990212	3
Solyc00g017760	0	0	0	0	0	0	0	0	0	0
Solyc00g017860	0	0	0	0	0	0	0	0	0	0
Solyc00g017870	0	0	0	0	0	0	0	0	0	0
Solyc00g017880	0	0	0	0	0	0	0	0	0	0
Solyc00g017890	0	0	0	0	0	0	0	0	0	0
Solyc00g017900	0	0	0	0	0	0	0	0	0	0
Solyc00g017910	0	0	0	0	0	0	0	0	0	0
Solyc00g017920	0	0	0	0	0	0	0	0	0	0
Solyc00g017930	0	0	0	0	0	0	0	0	0	0
Solyc00g017933	0	0	0	0	0	0	0	0	0	0
Solyc00g017937	0	0	0	0	0	0	0	0	0	0
Solyc00g018760	0	0	0	0	0	0	0	0	0	0
Solyc00g018770	0	0	0	0	0	0	0	0	0	0
Solyc00g018970	0	0	0	1.00414	0	0	0	0	0	0
Solyc00g019610	0	0	0	0	0	0	0	0	0	0
Solyc00g019620	0	0	0	0	0	0	0	0	0	0
Solyc00g019630	0	0	0	0	0	0	0	0	0	0
Solyc00g019730	54	33	47	41	13	7	32	108	12	48
Solyc00g019740	83	39	54	64.6452	50	24.8297	104	250	37	134
Solyc00g019750	14	6	10	48	24	27	55	147	12	13
Solyc00g019950	38.3338	9	12	24.4717	7.43584	5	32	104.643	9.67717	8
Solyc00g019970	15	11	14	104	57	29	96	445	40	4
Solyc00g019980	33	10	29.454	866.84	1025	868	1464.82	1995	1352.91	63
Solyc00g019990	2	4	15	83	46	12	100	348	58	13
Solyc00g020000	1	0	0	25	25	6	31	163.94	17	0
Solyc00g020010	8	9	5	80	47	14	88	288	41	8
Solyc00g020020	15.5463	19	9	167	84	11	204.358	672	71	35
Solyc00g020030	5.45365	0	2	24	11	4	32.6418	126	14	2
Solyc00g020040	5	18	42	219	63	11	147	235	23	181
Solyc00g020440	0	0	0	0	0	0	0	0	0	0
Solyc00g020540	2	0	0	0	0	0	2	5	2	0
Solyc00g020545	1	1	0	1	2	1	0	6	0	0
Solyc00g020940	0	0	0	0	0	0	0	0	0	0
Solyc00g020960	0	0	0	0	0	0	0	0	0	0
Solyc00g020970	0	0	0	0	0	0	0	0	0	0
Solyc00g020980	0	0	0	0	0	0	0	0	0	0
Solyc00g020990	0	0	0	0	0	0	0	0	0	0
Solyc00g021490	0	0	0	0	0	0	0	0	0	0
Solyc00g021500	0	0	0	0	0	0	0	0	0	0
Solyc00g021510	0	0	0	0	0	0	0	0	0	0
Solyc00g021520	0	0	0	0	0	0	0	0	0	0
Solyc00g021530	0	0	0	0	0	0	0	0	0	0
Solyc00g021630	73	55	100	95	74	44	60	85	52	129
Solyc00g021640	20	15	15	81	70	25	250	453	62	64
Solyc00g021650	3	5	1	26	29	7	23	79	10	8
Solyc00g021655	0	0	0	0	0	0	0	0	0	0
Solyc00g022070	0	0	0	8	8	0	8	29	1	0
Solyc00g022080	0	0	0	11	5	0	8	9	3	0
Solyc00g022090	71	66	0	45	81	27	45	91	19	4
Solyc00g022100	53	29	15	40	20	6	44	111	20	21
Solyc00g022103	15	17	10	57	51	41	61	277	42	4
Solyc00g022107	43	17	36	109	88	28	132	598.887	61	30
Solyc00g022920	0	0	0	0	0	0	0	0	0	0
Solyc00g023020	0	0	0	0	0	0	0	0	0	0
Solyc00g023030	0	0	0	0	0	0	0	0	0	0
Solyc00g023040	0	0	0	0	0	0	0	0	0	0
Solyc00g023050	0	0	0	0	0	0	0	0	0	0
Solyc00g023250	0	0	0	0	0	0	0	0	0	1
Solyc00g023260	0	0	0	0	0	0	0	0	0	0
Solyc00g023270	0	0	0	0	0	0	0	0	0	0
Solyc00g023470	0	0	0	0	0	0	0	0	0	0
Solyc00g023570	0	0	3	1	2	6	5	19	8	0
Solyc00g023580	0	4	4	8	1	1	12	52	6	15
Solyc00g023590	12	12	12	50	44	15	63	107	26	27
Solyc00g023600	0	0	1	17	15	7	24	34	16	3
Solyc00g023700	0	0	0	15	0	2	24	25	3	0
Solyc00g023710	0	5	0	8.60529	8.5817	1	14.5384	6.4524	0	21
Solyc00g024010	0	0	0	0	0	0	0	0	0	0
Solyc00g024020	0	0	0	0	0	0	0	0	0	0
Solyc00g024030	0	0	0	0	0	0	0	0	0	0
Solyc00g024040	0	0	0	0	0	0	0	0	0	0
Solyc00g024050	0	0	0	0	0	0	0	0	0	0
Solyc00g024150	4618	2150	626	903	827	1845	1349	1444	1384	1314
Solyc00g024160	5	0	0	1	0	0	0	1	2	0
Solyc00g024370	0	0	0	0	0	0	0	0	0	0
Solyc00g024570	0	0	0	0	0	0	0	0	0	0
Solyc00g024670	0	0	0	0	0	0	0	0	0	0
Solyc00g024680	0	0	0	0	0	0	0	0	0	0
Solyc00g024690	0	0	0	0	0	0	0	0	0	0
Solyc00g025290	3	8	0	21.898	14	6	39	94.634	12	5
Solyc00g025300	0	0	0	5	1	2	4	15	3	0
Solyc00g025400	60	13	65	15	14	66	49	89	30	13
Solyc00g025500	0	0	0	0	0	0	0	0	0	0
Solyc00g025510	0	0	0	0	0	0	0	0	0	0
Solyc00g025520	0	0	0	0	0	0	0	0	0	0
Solyc00g025530	0	0	0	0	0	0	0	0	0	0
Solyc00g025540	0	0	0	0	0	0	0	0	0	0
Solyc00g025650	0	0	0	0	0	0	0	0	0	0
Solyc00g025660	0	0	0	0	0	0	0	0	0	0
Solyc00g026160	0	0	0	28	0	0	4	3	2	0
Solyc00g026165	0	0	0	0	0	0	2	0	0	0
Solyc00g026860	0	0	0	0	0	0	0	0	0	0
Solyc00g026870	0	0	0	0	0	0	0	0	0	0
Solyc00g026875	0	0	0	0	0	0	0	0	0	0
Solyc00g026890	0	0	0	0	0	0	0	0	0	0
Solyc00g026900	0	0	0	0	0	0	0	0	0	0
Solyc00g026903	0	0	0	0	0	0	0	0	0	0
Solyc00g026905	0	0	0	0	0	0	0	0	0	0
Solyc00g026907	0	0	0	0	0	0	0	0	0	0
Solyc00g027640	0	0	0	0	0	0	0	0	0	0
Solyc00g027650	0	0	0	0	0	0	0	0	0	0
Solyc00g027660	0	0	0	0	0	0	0	0	0	0
Solyc00g027670	0	0	0	0	0	0	0	0	0	0
Solyc00g027770	1620	2382	2481	2624	3128	1608	2262	2148	2157	4574
Solyc00g027970	0	0	0	0	0	0	0	0	0	0
Solyc00g027980	0	0	0	0	0	0	0	0	0	0
Solyc00g027990	0	0	0	0	0	0	0	0	0	0
Solyc00g028090	0	0	0	0	0	0	0	0	0	0
Solyc00g028100	0	0	0	0	0	0	0	0	0	0
Solyc00g028110	0	0	0	0	0	0	0	0	0	0
Solyc00g028120	0	0	0	0	0	0	0	0	0	0
Solyc00g028420	0	0	0	0	0	0	0	0	0	0
Solyc00g028520	0	0	0	0	0	0	0	0	0	0
Solyc00g028530	0	0	0	0	0	0	0	0	0	0
Solyc00g028540	0	0	0	0	0	0	0	0	0	0
Solyc00g028550	0	0	0	0	0	0	0	0	0	0
Solyc00g028560	0	0	0	0	0	0	0	0	0	0
Solyc00g028760	4	0	0	0	0	3	0	0	0	0
Solyc00g028960	5	0	0	0	2	4	2	0	3	0
Solyc00g029060	0	0	0	0	0	0	0	0	0	0
Solyc00g029070	0	0	0	0	0	0	0	0	0	0
Solyc00g029080	0	0	0	0	0	0	0	0	0	0
Solyc00g029090	0	0	0	0	0	0	0	0	0	0
Solyc00g029190	10602	4387.59	10456.4	937.911	237.175	2273.58	2447.9	50.7121	2205.98	1345.3
Solyc00g029290	0	0	0	0	0	0	0	0	0	0
Solyc00g029300	0	0	0	0	0	0	0	0	0	0
Solyc00g029500	0	0	3	0	0	0	0	0	0	0
Solyc00g030000	0	0	0	0	0	0	0	0	0	0
Solyc00g030100	2	0	0	0	6	4	3	17	0	1
Solyc00g030105	0	0	0	0	0	0	0	0	0	0
Solyc00g030110	0	0	0	0	0	0	0	0	0	0
Solyc00g030210	0	0	0	0	0	0	0	1	0	0
Solyc00g030215	0	2	0	0	0	0	0	0	0	0
Solyc00g030510	0	1	0	11	0	0	0	1	0	0
Solyc00g030520	253	87	138	48	84	88	98	61	95	183
Solyc00g030820	5	4	0	9	16	5	6	0	22	0
Solyc00g031020	0	0	0	0	0	0	0	0	0	0
Solyc00g031030	0	0	0	0	0	0	0	0	0	0
Solyc00g031040	0	0	2	0	0	0	0	0	0	0
Solyc00g031050	0	0	0	0	0	0	0	0	0	0
Solyc00g031060	0	0	0	0	0	0	0	0	0	0
Solyc00g031360	0	0	0	0	0	0	0	0	0	0
Solyc00g031370	0	0	0	0	0	0	0	0	0	0
Solyc00g031380	0	0	0	0	0	0	0	0	0	0
Solyc00g031383	0	0	0	0	0	0	0	0	0	0
Solyc00g031387	0	0	0	0	0	0	0	0	0	0
Solyc00g031390	0	0	0	0	0	0	0	0	0	0
Solyc00g031490	0	0	0	0	0	0	0	0	0	0
Solyc00g031500	0	0	0	0	0	0	0	0	0	0
Solyc00g031700	0	0	0	0	0	0	0	0	0	0
Solyc00g031710	0	0	0	0	0	0	0	0	0	0
Solyc00g031720	0	0	0	0	0	0	0	0	0	0
Solyc00g031730	0	0	0	0	0	0	0	0	0	0
Solyc00g032030	0	0	0	0	0	0	0	0	0	0
Solyc00g032035	0	0	0	0	0	0	0	0	0	0
Solyc00g032940	0	0	0	0	0	0	0	0	0	0
Solyc00g032943	0	0	0	1	1	0	0	0	0	0
Solyc00g032947	667.383	82	60.699	21	4	51.3266	29.4206	9.14197	35.0981	193.344
Solyc00g033860	0	0	0	0	0	0	0	0	0	0
Solyc00g033870	0	0	0	0	0	0	0	0	0	0
Solyc00g033880	0	0	0	0	0	0	0	0	0	0
Solyc00g033885	0	0	0	0	0	0	0	0	0	0
Solyc00g033890	0	0	0	0	0	0	0	0	0	0
Solyc00g033990	0	0	0	0	0	0	0	0	0	0
Solyc00g034000	0	0	0	0	0	0	0	0	0	0
Solyc00g034010	0	0	0	0	0	0	0	0	0	0
Solyc00g034810	0	0	0	0	0	0	0	0	0	0
Solyc00g035010	0	0	0	0	0	0	0	0	0	0
Solyc00g035020	0	0	0	0	0	0	0	0	0	0
Solyc00g036320	0	1	0	0	0	0	0	0	0	0
Solyc00g036520	0	0	1	11	1	2	21.7159	24	8.55183	0
Solyc00g036530	0	0	0	6	5	0	4	10	1	0
Solyc00g036740	0	0	0	0	0	0	0	0	0	0
Solyc00g036750	15.0872	12.9269	12.4722	28.7178	13.5488	18.3349	5.46968	5.15239	17.5927	10.1823
Solyc00g036760	0	0	0	0	0	0	0	0	0	0
Solyc00g036960	0	0	0	0	0	0	0	0	0	0
Solyc00g036962	0	0	0	0	0	0	0	0	0	0
Solyc00g036964	0	0	0	0	0	0	0	0	0	0
Solyc00g036968	0	0	0	0	0	0	0	0	0	0
Solyc00g039290	15	63	154	61	142	105	214	152	75	139
Solyc00g039990	22.476	19.7068	9.22439	44.1579	23.6774	5.29745	46.7408	44.6788	45.7836	49.4041
Solyc00g040290	0	0	0	0	0	0	0	0	0	0
Solyc00g040390	0	0	0	0	0	0	0	0	0	0
Solyc00g040490	0	0	0	0	0	0	0	0	0	0
Solyc00g041090	0	0	0	0	0	0	0	0	0	0
Solyc00g041190	0	0	0	0	0	0	0	0	0	0
Solyc00g041200	0	0	0	0	0	0	0	0	0	0
Solyc00g041210	0	0	0	0	0	0	0	0	0	0
Solyc00g041215	0	0	0	0	0	0	0	0	0	0
Solyc00g041220	0	0	0	0	0	0	0	0	0	0
Solyc00g042120	0	0	0	0	0	0	0	0	0	0
Solyc00g042130	0	0	0	0	0	0	0	0	0	0
Solyc00g042140	0	0	0	0	0	0	0	0	0	0
Solyc00g042640	8	3	4	2	0	36.2735	23	14.5758	9	12.2523
Solyc00g042840	16	23	0	5	9	6	0	22	1	0
Solyc00g042850	0	0	0	1	0	0	0	0	0	0
Solyc00g042854	0	0	0	0	0	0	0	0	0	0
Solyc00g042858	0	0	0	0	0	0	0	0	0	0
Solyc00g044350	132	172	25	134	50	93	176	107	41	23
Solyc00g044550	0	2	0	0	0	0	0	0	0	0
Solyc00g044750	0	0	0	0	0	0	0	0	0	0
Solyc00g044755	2.29196	0	0	0	0	0	1.52928	0	0	0
Solyc00g046580	0	0	0	0	1.47331	0	0	0	0	0
