Geneid	Elite_2017	Elite_2020	PI127826_2020	PI127826_2017	F2-73	F2-127	F2-28_concat	F2-151	F2-411	F2-445	F1
Solyc00g007150.2.1	32	23	4	0	13	23	17	10	8	4	39
Solyc00g007160.1.1	2	1	0	0	1	4	1	0	0	0	8
Solyc00g007170.1.1	1	2	0	0	0	1	2	0	0	0	3
Solyc00g007180.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007190.2.1	35	9	4	0	6	29	32	2	18	2	16
Solyc00g007200.2.1	1234	258	288	1375	562	503	1095	403	634	702	1251
Solyc00g007210.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007220.2.1	348	84	38	102	130	74	196	68	192	70	92
Solyc00g007230.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007240.1.1	0	1	1	0	0	0	1	0	0	0	0
Solyc00g007250.1.1	0	0	2	0	0	0	3	0	0	0	0
Solyc00g007260.2.1	916	272	143	258	537	359	660	134	851	118	820
Solyc00g007270.2.1	7944	2525	1332	6690	4489	4551	6265	1718	8295	2638	8042
Solyc00g007290.1.1	0	0	17	0	27	0	30	6	87	0	0
Solyc00g007300.2.1	1940	532	159	446	596	462	1049	282	970	454	384
Solyc00g007310.1.1	283	0	0	0	0	0	0	0	0	1	58
Solyc00g007320.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007330.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007340.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007350.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007450.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007550.1.1	1	0	0	0	0	0	0	0	0	2	2
Solyc00g007560.1.1	0	0	0	8	0	0	0	0	0	0	0
Solyc00g007570.1.1	0	0	2	0	0	0	0	0	0	0	0
Solyc00g007580.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007590.1.1	2	0	0	0	0	0	0	0	0	0	3
Solyc00g007600.1.1	12	1	0	0	9	1	4	5	0	1	12
Solyc00g007610.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007910.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007920.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007930.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007940.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007950.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007960.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007970.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007980.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g007990.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008000.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008010.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008020.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008030.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008040.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008050.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008060.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008070.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008080.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008090.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008100.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008110.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008120.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008130.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008140.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008150.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008160.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008260.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008270.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008570.2.1	2153	8138	22558	800	4	28	36515	11	10	24	654
Solyc00g008580.1.1	178	14253	34643	35	6	4	67819	2	6	8	51
Solyc00g008680.2.1	7363	1421	1375	8012	2697	3621	5705	984	3167	1901	5571
Solyc00g008690.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008800.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008910.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g008920.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009020.2.1	17249	2806	2103	19762	5997	4045	9395	5456	8177	5693	10456
Solyc00g009030.1.1	4	3	2	0	16	4	9	2	0	10	0
Solyc00g009040.2.1	16	9	4	4	12	6	21	26	48	38	6
Solyc00g009050.1.1	43	2	1	26	12	8	6	0	11	30	8
Solyc00g009060.2.1	1061	264	169	946	204	144	566	226	314	302	502
Solyc00g009070.1.1	0	0	0	0	0	0	2	0	0	0	0
Solyc00g009080.2.1	968	118	103	755	341	163	327	254	317	347	528
Solyc00g009090.2.1	16	4	31	86	68	20	78	59	191	49	61
Solyc00g009100.2.1	1132	208	201	435	726	602	773	621	803	637	748
Solyc00g009110.2.1	5097	717	1139	6970	6483	4873	4663	6034	5102	3429	6184
Solyc00g009120.2.1	1899	860	159	256	74	128	626	611	589	268	1062
Solyc00g009130.2.1	823	92	12	129	54	41	87	48	77	49	349
Solyc00g009140.2.1	1876	596	263	645	114	135	1679	126	209	160	852
Solyc00g009240.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009440.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009540.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009650.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009660.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009760.2.1	2	2147	5402	0	0	0	9520	0	2	0	8
Solyc00g009770.1.1	0	0	1	0	0	0	0	0	0	0	0
Solyc00g009780.1.1	0	146	1217	0	0	0	1717	0	0	0	0
Solyc00g009790.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g009800.1.1	0	299	1672	0	0	0	2341	0	0	0	0
Solyc00g010100.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010110.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010210.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010410.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010420.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010520.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010530.1.1	0	48	64	0	0	0	144	0	0	2	0
Solyc00g010540.1.1	0	0	1	0	0	0	1	0	0	0	0
Solyc00g010550.1.1	0	2	12	0	0	0	21	0	0	0	0
Solyc00g010750.1.1	0	4	1	0	0	0	5	0	0	0	0
Solyc00g010760.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010770.1.1	0	5	2	0	0	0	6	0	0	0	0
Solyc00g010780.1.1	0	0	0	0	0	0	2	0	0	0	0
Solyc00g010790.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010810.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g010930.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011130.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011140.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011150.1.1	0	8955	17871	0	0	0	33588	0	0	0	0
Solyc00g011160.1.1	1166	16256	40136	530	6	6	67068	0	2	10	339
Solyc00g011170.1.1	0	8	13	0	0	0	20	0	0	0	0
Solyc00g011180.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011310.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011550.1.1	0	0	0	0	0	0	6	0	0	0	0
Solyc00g011560.1.1	0	1	0	0	0	0	8	0	0	0	1
Solyc00g011660.1.1	0	0	0	0	0	0	5	0	0	0	0
Solyc00g011670.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g011870.1.1	0	0	3	24	0	0	20	0	0	0	5
Solyc00g011880.2.1	794	129	17	0	224	291	16	217	0	180	382
Solyc00g011890.2.1	9295	3252	686	2988	8131	9898	1884	10386	3750	4658	9442
Solyc00g012090.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012310.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012430.1.1	34	7046	17735	4	2	0	33684	0	4	4	6
Solyc00g012440.1.1	192	18616	40314	74	8	14	74051	2	12	17	81
Solyc00g012540.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012640.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012650.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012660.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012670.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012680.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012690.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012700.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012800.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g012900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g013000.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g013100.1.1	0	1	15	0	2	2	7	0	3	5	0
Solyc00g013110.1.1	0	5	35	1	5	2	32	3	14	13	0
Solyc00g013120.2.1	28	167	157	5	68	125	314	41	65	456	8
Solyc00g013130.2.1	12	129	402	16	31	66	508	15	73	311	2
Solyc00g013140.1.1	65	134	239	47	102	228	709	139	277	537	63
Solyc00g013150.1.1	20	78	237	43	113	210	443	91	281	493	24
Solyc00g013160.1.1	7	71	96	34	21	73	142	43	88	236	18
Solyc00g013170.1.1	22	54	67	3	22	37	138	23	41	200	21
Solyc00g013180.1.1	11	29	168	20	11	39	193	34	44	224	12
Solyc00g013190.1.1	11	6	49	10	7	35	50	10	57	205	0
