target_id	Elite_02	F2-127	F2-151	F2-28	F2-411	F2-445	F2-73	PI127826	PI127826_F1
Solyc02g080060.1.1	9.28497409725023	0	1.04195973392377	7.85521550855986	4.49749742109682	5.60531992381738	11.0536998578086	14.2132279881966	0
Solyc02g080070.3.1	5677.58658681669	1798.30762837448	2572.5985830578	1234.39100848798	2500.60856612983	1303.23688228754	3653.75024390838	1075.96291534113	567.952307767357
Solyc02g080080.3.1	960.00927095507	315.738044359389	216.727624656145	820.308933822466	197.88988652826	156.014737879584	842.090952803966	423.178003185523	69.4361755577646
Solyc02g080100.1.1	5.80310881078139	17.6423955422394	12.5035168070853	4.48869457631992	4.49749742109682	0	0	29.648335068008	14.2433180631312
Solyc02g080110.3.1	269.264248820257	296.270573416228	558.490417383143	527.421612717591	412.645388385633	418.530554311698	188.917779388002	2137.25824098945	177.151268410194
Solyc02g080120.3.1	113.740932691315	340.07238303834	184.426872904508	98.7512806790383	15.7412409738389	127.988138260497	112.546762188597	113.437108086292	42.7299541893936
Solyc02g080130.4.1	2042.69430139505	2635.40887893039	3158.17995352296	2509.18026816284	2247.62433619314	2145.90331083476	2090.15415493109	3038.30981544761	2159.64310132227
Solyc02g080140.4.1	615.129533942828	1234.35932948979	692.90322305931	741.756778736867	710.604592533298	984.667866617254	1080.24794064948	791.481640511171	787.833530366944
Solyc02g080145.1.1	18.5699481945005	24.3783191706094	37.5105504212559	0	26.9849845265809	0	20.1144078721513	0	120.177996157669
Solyc02g080150.3.1	185.699481945005	199.541577167398	295.916564434352	371.439476190473	188.894891686067	284.002876140081	271.318087418939	424.100097277159	229.673503767991
Solyc02g080160.4.1	67.3160622050642	514.062904592839	196.930389711593	133.538663645518	192.268014751889	695.059670553356	62.3026719258304	47.6951477180999	846.587217377361
Solyc02g080170.1.1	112.580310929159	24.9426971459247	111.489691529844	219.946034239676	86.5768253561138	113.040618463651	90.4393624729797	269.413131704943	113.94654450505
Solyc02g080180.1.1	11.6062176215628	35.2847910844789	26.0489933480943	15.7104310171197	24.7362358160325	12.1448598349377	22.1073997156173	24.4921028822675	28.4866361262624
Solyc02g080190.3.1	9.28497409725023	118.629901059886	8.33567787139019	12.3439100848798	7.87062048691944	1.8684399746058	5.02440902627665	6.44529023217566	104.154263336647
Solyc02g080200.4.1	205.326449768426	694.173041256877	2891.87430690408	1773.54526196953	1150.89383341673	68.005322063171	110.158293915673	958.836307929673	381.791023053247
Solyc02g080220.3.1	5415.56474435443	37796.0588057068	23165.4547190617	872.540190771064	36785.496913535	29.1535566163303	11092.2640710707	620.259798953364	78978.416395198
Solyc02g080230.3.1	45.2642487240949	228.134425115165	156.293960088566	77.4299814415186	119.183681659066	92.4877787429869	27.1318087418939	58.007612089581	371.216477020357
Solyc02g080260.4.1	1153.65803158334	292.012064147412	912.756726917226	846.118927636305	615.03277233499	864.15348825518	1295.29264697412	823.708091672049	576.854381556813
Solyc02g080270.3.1	736.994818969237	1028.12580918568	583.497450997313	711.458090346708	655.510249124862	909.930267633022	764.715053799306	558.162134106412	724.6288064618
Solyc02g080290.3.1	472.193304000823	438.520847152651	489.721074944174	378.385647836054	997.009004203544	2989.82970223876	544.168356429049	311.399621777901	274.772332245049
Solyc02g080300.3.1	275.881579082992	196.835507037891	217.253764937296	198.01907670026	403.01516866982	240.235087452535	239.22549667813	257.419917314121	80.9361933836642
Solyc02g080310.2.1	412.546879072464	124.483371059701	216.201484374994	907.10883293742	159.48305789196	1209.34858997207	525.967139140516	712.5041590645	68.0301867494399
Solyc02g080320.4.1	212.393782474599	135.663938135152	232.357020665002	151.493441950797	166.407404580582	64.4611791238999	188.917779388002	558.162134106412	100.593433820864
Solyc02g080330.4.1	1749.05699556951	1367.58983375704	1157.61726438931	3595.44435563226	1005.19067361514	12228.9396337949	1431.95657248885	928.121793433295	1801.7797349861
Solyc02g080340.3.1	930.818653249336	653.985351996807	797.099196451687	764.200251618467	926.484468745945	1434.02768050995	677.290336742092	645.818081264001	1146.58710408206
Solyc02g080350.1.1	82.4041451130958	18.859112476187	65.6434632371978	114.461711696158	91.0743227772106	31.7634795682985	39.1903904049579	143.0854431543	21.3649770946968
Solyc02g080360.1.1	51.0673575348763	156.34812601226	71.8952216407404	116.706058984318	212.506753146825	376.490654883068	246.196042287556	47.6951477180999	822.551618145827
Solyc02g080370.3.1	1424.08290216575	1304.92891165875	1512.92553365732	1939.11605697021	1312.144872605	1192.9989237858	1642.98175159246	1965.81352081358	952.521895471899
Solyc02g080380.4.1	1910.38342050924	2642.1008220671	1925.54158829113	2334.12117968636	1684.31278420076	2019.78361254886	1823.86047653842	1857.53264491303	1541.83918033395
Solyc02g080390.2.1	132.310880885816	26.7677725468461	45.8462282926461	28.0543411019995	85.4524510008396	75.6718189715347	60.2929083153198	10.3124643714811	87.2403231366786
Solyc02g080400.3.1	23.2124352431256	28.5928479477674	10.4195973392377	5.6108682203999	14.6168666185647	0.934219987302898	17.0829906893406	0	30.2670508841538
Solyc02g080410.3.1	688.248704958673	307.221025821756	304.252242305742	774.299814415186	291.212958016019	482.057513448295	564.743574553495	176.600952361613	186.053342199651
Solyc02g080420.4.1	2952.62176292557	2318.45411763705	1926.58354802506	2750.44760164003	2057.6050701518	2555.09166527342	2723.22969224194	2762.45139351049	1990.50369932258
Solyc02g080430.3.1	540.849741164826	1283.02800684769	789.805478314221	701.358527549988	742.087074480976	662.361970997754	723.514899783837	569.763656524328	937.388370029822
Solyc02g080440.3.1	955.191710254618	1235.57604642374	885.665773835208	1030.15540526542	1358.24422117124	2782.10712218803	2254.95477099296	999.019985987228	2595.84471700566
Solyc02g080450.1.1	136.953367934441	50.4937527588232	23.9650738802468	31.4208620342394	16.8656153291131	184.041337498671	20.0976361051066	5.15623218574053	59.6438943893619
Solyc02g080470.3.1	1480.95336851141	1053.67686479858	1101.35143875743	1054.84322543518	1405.46794409276	1579.7659985292	1044.07219566029	1194.95680904537	1364.68791192376
Solyc02g080480.3.1	197.305699566567	939.305473007507	336.552994057379	361.339913393754	444.127870333311	371.819554946553	184.898252166981	304.217698958691	1110.97880892423
Solyc02g080490.3.1	105.616580356221	516.496338460734	257.364054279172	227.801249748236	183.273019909695	132.659238197011	123.600462046406	87.655947157589	450.444933746524
