IDENTIFIER	VALUE
Solyc01g007030	-0.548035668
Solyc01g007040	-0.481384495
Solyc01g007060	-0.071632891
Solyc01g007070	-0.097593314
Solyc01g007080	0.546857863
Solyc01g007100	-0.264557682
Solyc01g007110	-0.328966552
Solyc01g007120	0.093251702
Solyc01g007130	0.702632495
Solyc01g007140	-0.186598016
Solyc01g007150	-0.213576685
Solyc01g007160	1.560438903
Solyc01g007170	-0.77872227
Solyc01g007180	1.086974066
Solyc01g007190	0.845706994
Solyc01g007220	1.340443313
Solyc01g007230	-0.08624839
Solyc01g007250	0.361542488
Solyc01g007260	1.333855429
Solyc01g007267	-0.333461665
Solyc01g007740	-0.288626509
Solyc01g007750	0.05494521
Solyc01g007760	0.173965286
Solyc01g007770	-0.565783596
Solyc01g007780	1.047212095
Solyc01g007790	-0.161757926
Solyc01g007800	0.079772785
Solyc01g007810	0.298066699
Solyc01g007830	0.100629628
Solyc01g007840	-0.312465227
Solyc01g007850	-0.026666508
Solyc01g007860	-0.318736332
Solyc01g007870	1.22437253
Solyc01g007880	0.175523083
Solyc01g007890	-0.799190343
Solyc01g007900	-0.137839079
Solyc01g007910	-0.752556304
Solyc01g007920	-1.048718419
Solyc01g007930	0.835663391
Solyc01g007950	-0.33576471
Solyc01g007960	1.824829201
Solyc01g007980	0.512676396
Solyc01g007990	0.168108942
Solyc01g008000	0.133758108
Solyc01g008010	0.048127609
Solyc01g008020	-0.39016195
Solyc01g008050	0.790710574
Solyc01g008060	0.03172037
Solyc01g008070	-0.190433446
Solyc01g008080	1.36742042
Solyc01g008090	0.745843691
Solyc01g008100	-0.359706845
Solyc01g008110	-0.112748248
Solyc01g008120	-0.157106138
Solyc01g008130	0.15851783
Solyc01g008140	0.533385476
Solyc01g008160	0.404420947
Solyc01g008170	0.766185152
Solyc01g008180	-0.637711121
Solyc01g008190	0.203220269
Solyc01g008200	0.206383646
Solyc01g008220	1.304096256
Solyc01g008230	-0.147472849
Solyc01g008250	0.001207346
Solyc01g008260	0.350928354
Solyc01g008270	-0.184667816
Solyc01g008280	0.106602862
Solyc01g008290	0.058097688
Solyc01g008300	0.619671126
Solyc01g008310	-0.159928625
Solyc01g008320	0.346683683
Solyc01g008330	-0.736756224
Solyc01g008340	0.318775219
Solyc01g008360	0.97164539
Solyc01g008370	-0.136529762
Solyc01g008400	0.243173323
Solyc01g008390	-0.300230819
Solyc01g008410	2.179545516
Solyc01g008420	-0.503700062
Solyc01g008440	0.00804762
Solyc01g008460	1.662879835
Solyc01g008470	-0.485952688
Solyc01g008480	1.166544553
Solyc01g008490	1.039112545
Solyc01g008500	-1.730521378
Solyc01g008520	0.071563262
Solyc01g008530	0.015507427
Solyc01g008550	-0.093914887
Solyc01g008560	-0.660820211
Solyc01g008600	0.148234438
Solyc01g008620	0.572274751
Solyc01g008650	1.690833479
Solyc01g008660	0.282258434
Solyc01g008670	1.101277848
Solyc01g008700	-0.404353996
Solyc01g008720	-0.902146931
Solyc01g008730	0.218227496
Solyc01g008760	1.187906154
Solyc01g008770	-0.532322514
Solyc01g008780	0.555124916
Solyc01g008790	-0.911683835
Solyc01g008800	-0.864471015
Solyc01g008810	0.748974647
Solyc01g008820	-0.33376699
Solyc01g008830	0.691819303
Solyc01g008840	0.033784075
Solyc01g008850	1.064233731
Solyc01g008890	0.65067109
Solyc01g008900	0.334130309
Solyc01g008910	2.355208417
Solyc01g008920	-0.040880291
Solyc01g008930	0.708521504
Solyc01g008940	4.362778484
Solyc01g008950	0.534044097
Solyc01g008960	-0.147590909
Solyc01g008970	0.094306165
Solyc01g008980	0.28318845
Solyc01g008990	-0.320383456
Solyc01g009000	-0.285435961
Solyc01g009010	-0.825275243
Solyc01g009020	0.210754302
Solyc01g009030	-0.332077924
Solyc01g009040	-1.217713534
Solyc01g009050	-0.287000414
Solyc01g009060	-0.061408121
Solyc01g009070	0.115674476
Solyc01g009080	0.174267568
Solyc01g009090	0.177188907
Solyc01g009100	-0.046601297
Solyc01g009120	0.152811429
Solyc01g009145	-0.308711491
