"target_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc04g015270"	3491.51261043868	0.365398908529627	0.321610341181017	1.13648079279741	0.255755399611255	0.999925131801308
"Solyc04g015280"	165.085739582335	0.120310976453908	0.404000436365027	0.297893318750719	0.76578458745083	0.999925131801308
"Solyc04g015290"	607.251418672251	0.152081916931507	0.19405054216866	0.783723596312702	0.433202313758113	0.999925131801308
"Solyc04g015300"	698.679263172745	0.209975365653138	0.196561476079418	1.06824482398343	0.285410090234039	0.999925131801308
"Solyc04g015330"	359.213165149665	-0.164765182335688	0.240266079757647	-0.685748143649593	0.492871941813533	0.999925131801308
"Solyc04g015340"	1121.38334610632	0.385062389103613	0.18562886836408	2.07437236472187	0.0380447418257246	0.999925131801308
"Solyc04g015350"	1836.16944911711	0.156943497962287	0.202780925011807	0.773964903174242	0.43895154641752	0.999925131801308
"Solyc04g015360"	416.857473349106	-0.0740613046146372	0.362189405915102	-0.204460635666146	0.837993550381287	0.999925131801308
"Solyc04g015370"	925.160073361451	-0.183633486532677	0.269573584353021	-0.681162882872735	0.495768431182965	0.999925131801308
"Solyc04g015390"	16.0619471554486	-0.450793875810943	0.469283646502977	-0.957783578262059	0.33817190159757	0.999925131801308
"Solyc04g015400"	49.1760413030786	-0.33402033724186	0.38478234221681	-0.867665436918876	0.385577512277612	0.999925131801308
"Solyc04g015430"	12.9805321820313	0.204757478676808	0.475144372391563	0.432078777609452	0.665684158540781	0.999925131801308
"Solyc04g015440"	486.438588261552	-0.191406814556038	0.37424316513503	-0.51129515574496	0.609144396575349	0.999925131801308
"Solyc04g015450"	1670.70838052412	-0.055002109606987	0.312954853360464	-0.175742885128205	0.860495942148162	0.999925131801308
"Solyc04g015460"	536.716425297928	-0.171042621033569	0.257835109456788	-0.663355432381864	0.507102942326863	0.999925131801308
"Solyc04g015470"	547.17816012485	0.342573863898182	0.292712436182755	1.17049895029863	0.241800236332587	0.999925131801308
"Solyc04g015480"	874.528084026879	0.135208938749558	0.182099113182554	0.742503170484071	0.45778253158149	0.999925131801308
"Solyc04g015490"	1192.71531230252	0.0646626738895949	0.360189521512136	0.179542043027495	0.857512108063515	0.999925131801308
"Solyc04g015500"	268.557543671813	-0.286063026364814	0.253402166809105	-1.12883808592668	0.258966142937052	0.999925131801308
"Solyc04g015520"	1260.2272573747	-0.419133116685529	0.477320010207717	-0.874014013738457	0.382110622089161	0.999925131801308
"Solyc04g015540"	7.69442999743519	0.326484207680783	0.450760305706396	0.742786509628091	0.457610944219625	0.999925131801308
"Solyc04g015560"	3206.01826904536	0.619435665431914	0.440480648014512	1.41223008432391	0.157882225028336	0.999925131801308
"Solyc04g015570"	158.820613061634	0.00319319183230159	0.213763622344598	0.0149387785219874	0.988081022582313	0.999925131801308
"Solyc04g015580"	839.303264349164	0.0827975669910405	0.276375678094849	0.299592714771557	0.764487841840896	0.999925131801308
"Solyc04g015590"	300.263190929274	-0.510055766107621	0.457897152955895	-1.11239003793966	0.265970486035667	0.999925131801308
"Solyc04g015600"	528.147001507786	-0.0588917557921562	0.327419475973605	-0.179856774480167	0.857265010698666	0.999925131801308
"Solyc04g015620"	792.37726384484	0.174413477559616	0.412496545198713	0.42306977098545	0.672244356746366	0.999925131801308
"Solyc04g015630"	29.9188097975357	-0.141854776464863	0.475270543762171	-0.297978053550768	0.765719913908446	0.999925131801308
"Solyc04g015640"	14.7431683744016	0.0641834772706011	0.446817106220169	0.144195304360225	0.885346248774657	0.999925131801308
"Solyc04g015680"	5209.85016852924	0.0308842485909583	0.214595525935093	0.143920297427714	0.885563407518762	0.999925131801308
"Solyc04g015690"	1387.62869423127	0.0912959649445186	0.377872580266481	0.241647710305129	0.809053149932846	0.999925131801308
"Solyc04g015710"	24.2958889789781	0.095173167446434	0.446572736329237	0.21320613487447	0.831166183341518	0.999925131801308
"Solyc04g015740"	2003.67445550913	0.430877561104231	0.311628290081766	1.38305606177971	0.16664767672016	0.999925131801308
"Solyc04g015750"	12432.3239788242	-0.0542528922650559	0.349010126810471	-0.155435450673785	0.876478038179393	0.999925131801308
"Solyc04g015760"	345.405510935144	0.265389105010617	0.247788282978524	1.07105070949496	0.284146629333845	0.999925131801308
"Solyc04g015820"	37.8924529620306	-0.749660843672222	0.477172598021418	-1.56519397689515	0.11753743336935	0.999925131801308
"Solyc04g015830"	9460.61052561812	0.178765468425033	0.199397259054658	0.896543364263455	0.369962630905888	0.999925131801308
"Solyc04g015850"	1571.76144197231	0.222026761353355	0.385426032908793	0.576330543957705	0.564391781324685	0.999925131801308
"Solyc04g015940"	681.355729752598	-0.0960756014844581	0.304171849291689	-0.315842318002221	0.752122195838114	0.999925131801308
"Solyc04g015950"	411.192595019016	-0.130342979740045	0.244279235052447	-0.533571815700513	0.593637812202343	0.999925131801308
"Solyc04g015960"	136.165961342269	0.231856703034133	0.42330575110885	0.54821017582477	0.583547595759812	0.999925131801308
"Solyc04g015970"	1939.12609564147	-0.133713384530824	0.204020624447964	-0.655383646903767	0.512220777584212	0.999925131801308
"Solyc04g016010"	178.263325554509	0.383931125155322	0.354834940942286	1.08242196790891	0.27906507129833	0.999925131801308
"Solyc04g016050"	255.616941472072	-0.246517677829432	0.265280029155969	-0.929227489637083	0.352771203973579	0.999925131801308
"Solyc04g016080"	35.752471233748	-0.217787269965497	0.477129228156915	-0.455160408828151	NA	NA
"Solyc04g016085"	7.14924179671662	-0.344855568369598	0.476767459697656	-0.720462712818295	0.471240149571287	0.999925131801308
"Solyc04g016120"	17.1704436379919	0.253137473723352	0.321931799923028	0.955408696225296	0.339371057998111	0.999925131801308
"Solyc04g016130"	836.710772699413	-0.150132452232427	0.23226160109634	-0.646380371607371	0.51803304897032	0.999925131801308
"Solyc04g016160"	167.638124889031	-0.0542745631216295	0.333830504870463	-0.162573764533025	0.870854045012238	0.999925131801308
"Solyc04g016175"	101.959116301822	-0.179022606054066	0.29399652187501	-0.608905176059406	0.542587293171936	0.999925131801308
"Solyc04g016180"	3036.3151338886	0.216045619089949	0.273022598747444	0.791368944245733	0.428728726935381	0.999925131801308
"Solyc04g016185"	17.2805013552991	0.154376258352215	0.463480425388817	0.335485932542406	0.737258554694755	0.999925131801308
"Solyc04g016190"	719.203562148111	0.651960884472077	0.427661511053648	1.52959999584642	0.126115770488991	0.999925131801308
