genotype	replicate	surface	type_VI_counts	diameter	type_VI_mm2
28	5	abaxial	68	4	5.41
28	6	abaxial	84	4	6.69
73	1	adaxial	206	4	16.40
73	2	adaxial	214	4	17.04
73	1	abaxial	154	4	12.26
73	2	abaxial	148	4	11.78
73	3	adaxial	123	4	9.79
73	4	adaxial	126	4	10.03
73	3	abaxial	52	4	4.14
73	4	abaxial	40	4	3.18
73	5	adaxial	129	4	10.27
73	6	adaxial	128	4	10.19
73	5	abaxial	98	4	7.80
73	6	abaxial	89	4	7.09
127	1	adaxial	170	4	13.54
127	2	adaxial	195	4	15.53
127	1	abaxial	126	4	10.03
127	2	abaxial	131	4	10.43
127	3	adaxial	166	4	13.22
127	4	adaxial	100	4	7.96
127	3	abaxial	110	4	8.76
127	4	abaxial	153	4	12.18
127	5	adaxial	234	4	18.63
127	6	adaxial	144	4	11.46
127	5	abaxial	152	4	12.10
127	6	abaxial	119	4	9.47
170	1	adaxial	51		4.06
170	2	adaxial	37		2.95
170	1	abaxial	41		3.26
170	2	abaxial	29		2.31
298	1	adaxial	32		2.55
298	2	adaxial	37		2.95
298	1	abaxial	17		1.35
298	2	abaxial	21		1.67
429	1	adaxial	17		1.35
429	2	adaxial	22		1.75
429	1	abaxial	24		1.91
429	2	abaxial	20		1.59
437	1	adaxial	48		3.82
437	2	adaxial	39		3.11
437	1	abaxial	10		0.80
437	2	abaxial	9		0.72
368	1	adaxial	22		1.75
368	2	adaxial	20		1.59
368	1	abaxial	5		0.40
368	2	abaxial	12		0.96
347	1	adaxial	33		2.63
347	2	adaxial	29		2.31
347	1	abaxial	11		0.88
347	2	abaxial	9		0.72
373	1	adaxial	17		1.35
373	2	adaxial	12		0.96
373	1	abaxial	4		0.32
373	2	abaxial	3		0.24
374	1	adaxial	57		4.54
374	2	adaxial	36		2.87
374	1	abaxial	9		0.72
374	2	abaxial	15		1.19
389	1	adaxial	18		1.43
389	2	adaxial	20		1.59
389	1	abaxial	1		0.08
389	2	adaxial	3		0.24
388	1	adaxial	3		0.24
388	2	adaxial	4		0.32
388	1	abaxial	6		0.48
388	2	adaxial	7		0.56
F1	1	adaxial	12		0.96
F1	2	adaxial	5		0.40
F1	1	abaxial	17		1.35
F1	2	abaxial	4		0.32
F1	3	adaxial	29		2.31
F1	4	adaxial	22		1.75
F1	3	abaxial	28		2.23
F1	4	abaxial	30		2.39
F1	5	adaxial	39		3.11
F1	6	adaxial	27		2.15
F1	5	abaxial	31		2.47
F1	6	abaxial	12		0.96
1777_F1	1	adaxial	26		2.07
1777_F1	2	adaxial	29		2.31
1777_F1	1	abaxial	29		2.31
1777_F1	2	abaxial	43		3.42
1777_F1	3	adaxial	5		0.40
1777_F1	4	adaxial	15		1.19
1777_F1	3	abaxial	24		1.91
1777_F1	4	abaxial	3		0.24
1777_F1	5	adaxial	30		2.39
1777_F1	6	adaxial	28		2.23
1777_F1	5	abaxial	60		4.78
1777_F1	6	abaxial	50		3.98
1777_CV	1	adaxial	10		0.80
1777_CV	2	adaxial	60		4.78
1777_CV	1	abaxial	12		0.96
1777_CV	2	abaxial	23		1.83
1777_CV	3	adaxial	2		0.16
1777_CV	4	adaxial	3		0.24
1777_CV	3	abaxial	4		0.32
1777_CV	4	abaxial	7		0.56
1777_CV	5	adaxial	1		0.08
1777_CV	6	adaxial	0		0.00
1777_CV	5	abaxial	10		0.80
1777_CV	6	abaxial	1		0.08
1777_CV	7	adaxial	13		1.04
1777_CV	8	adaxial	0		0.00
1777_CV	7	abaxial	22		1.75
1777_CV	8	abaxial	6		0.48
LA1777	1	adaxial	60		4.78
LA1777	2	adaxial	127		10.11
LA1777	1	abaxial	71		5.65
LA1777	2	abaxial	54		4.30
LA1777	3	adaxial	81		6.45
LA1777	4	adaxial	31		2.47
LA1777	3	abaxial	21		1.67
LA1777	4	abaxial	34		2.71
LA1777	5	adaxial	44		3.50
LA1777	6	adaxial	30		2.39
LA1777	5	abaxial	32		2.55
LA1777	6	abaxial	31		2.47
LA1777	7	adaxial	173		13.77
LA1777	8	adaxial	144		11.46
LA1777	7	abaxial	138		10.99
LA1777	8	abaxial	83		6.61
