genotype	group	replicatie	surface	type_VI_density_mm2
Cultivar	Elite	9	adaxial	0.2
Cultivar	Elite	10	adaxial	0.7
F1	F1	1	abaxial	2.2
F1	F1	2	abaxial	2.4
F1	F1	3	abaxial	2.5
F1	F1	4	abaxial	1
F1	F1	1	adaxial	2.3
F1	F1	2	adaxial	1.8
F1	F1	3	adaxial	3.1
F1	F1	4	adaxial	2.1
PI127826	PI127826	1	abaxial	2.5
PI127826	PI127826	2	abaxial	2.2
PI127826	PI127826	3	abaxial	9.4
PI127826	PI127826	4	abaxial	1
PI127826	PI127826	5	abaxial	1
PI127826	PI127826	6	abaxial	0.9
PI127826	PI127826	7	abaxial	6.7
PI127826	PI127826	8	abaxial	2.9
PI127826	PI127826	9	abaxial	1.4
PI127826	PI127826	10	abaxial	0.3
PI127826	PI127826	1	adaxial	5
PI127826	PI127826	2	adaxial	3.8
PI127826	PI127826	5	adaxial	3.1
PI127826	PI127826	6	adaxial	2.9
PI127826	PI127826	7	adaxial	4
PI127826	PI127826	8	adaxial	6.1
PI127826	PI127826	9	adaxial	3.3
PI127826	PI127826	10	adaxial	1.9
28	F2	1	adaxial	8.8
28	F2	2	adaxial	10.6
28	F2	1	abaxial	6.9
28	F2	2	abaxial	5.4
28	F2	3	adaxial	9.9
28	F2	4	adaxial	9.6
28	F2	3	abaxial	4.9
28	F2	4	abaxial	6.7
28	F2	5	adaxial	10.8
28	F2	6	adaxial	10.5
28	F2	5	abaxial	5.4
28	F2	6	abaxial	5.3
73	F2	1	adaxial	16.4
73	F2	2	adaxial	17
73	F2	1	abaxial	12.3
73	F2	2	abaxial	11.8
73	F2	3	adaxial	10.5
73	F2	4	adaxial	10
73	F2	3	abaxial	4.1
73	F2	4	abaxial	3.2
73	F2	5	adaxial	10.3
73	F2	6	adaxial	10.2
73	F2	5	abaxial	7.8
73	F2	6	abaxial	7.1
127	F2	1	adaxial	13.5
127	F2	2	adaxial	15.5
127	F2	1	abaxial	10
127	F2	2	abaxial	10.4
127	F2	3	adaxial	13.2
127	F2	4	adaxial	8
127	F2	3	abaxial	8.8
127	F2	4	abaxial	12.2
127	F2	5	adaxial	18.6
127	F2	6	adaxial	11.5
127	F2	5	abaxial	10
127	F2	6	abaxial	9.5
