genotype	replicate	surface	type_VI_density_mm2
73	3	abaxial	4.1
73	4	abaxial	3.2
73	5	adaxial	10.3
73	6	adaxial	10.2
73	5	abaxial	7.8
73	6	abaxial	7.1
127	1	adaxial	13.5
127	2	adaxial	15.5
127	1	abaxial	10
127	2	abaxial	10.4
127	3	adaxial	13.2
127	4	adaxial	8
127	3	abaxial	8.8
127	4	abaxial	12.2
127	5	adaxial	18.6
127	6	adaxial	11.5
127	5	abaxial	10
127	6	abaxial	9.5
