"genotype"	"B-phellandrene/D-limonene_mean"	"B-caryophyllene_mean"	"zingiberene_mean"	"zingiberenol_mean"	"epoxy-zingiberenol_mean"	"total_volatiles_mean"	"B-phellandrene/D-limonene_sd"	"B-caryophyllene_sd"	"zingiberene_sd"	"zingiberenol_sd"	"epoxy-zingiberenol_sd"	"total_volatiles_sd"
"294"	0.177253155	0.784810143	4.964708848	0.095121109	0.670097255	6.691990509	NA	NA	NA	NA	NA	NA
"296"	0.021616715	0.378902656	16.5367338	0.37613208	0.528348742	17.84173399	NA	NA	NA	NA	NA	NA
"314"	0.084941842	0.972268665	0.856942222	0.543802472	0.882475123	3.340430324	NA	NA	NA	NA	NA	NA
"327"	0.049695704	0.077302285	21.30890433	0.02230625	0.019148824	21.47735739	NA	NA	NA	NA	NA	NA
"332"	0.115172109	0.559018793	4.12709702	0.024223516	0.273238991	5.098750428	NA	NA	NA	NA	NA	NA
"341"	0.139499082	0.291287047	1.129496921	0.071248061	1.000046225	2.631577335	NA	NA	NA	NA	NA	NA
"346"	0.013159032	0	0.373144063	0.014802053	0.001345641	0.402450789	NA	NA	NA	NA	NA	NA
"364"	0.01522672	0.038486551	2.382639044	0	0.101312715	2.53766503	NA	NA	NA	NA	NA	NA
"365"	0.035650617	0.016683371	0.028382209	0.010294302	0.003734184	0.094744683	NA	NA	NA	NA	NA	NA
"366"	0	0.317504617	2.339865112	0.03630435	0.461669669	3.155343748	NA	NA	NA	NA	NA	NA
"373"	0.0603062	0.406922159	0.828351759	0.108377041	0.45151499	1.855472149	NA	NA	NA	NA	NA	NA
"376"	0.028922403	0.484271608	14.264089155	0.4319223085	0.3474585625	15.55666404	0.0173741976839547	0.202976199378486	0.994308078647197	0.225589381609843	0.302423099579332	1.30197016135972
"387"	0.018540812	0.453703955	16.4333771	0.62628693	0.428896271	17.96080507	NA	NA	NA	NA	NA	NA
"411"	0.082125237	0.045200712	0.879899477	0.051580627	0.327918034	1.386724087	NA	NA	NA	NA	NA	NA
"432"	0.093391655	0.921164659	5.825683059	0.062816215	0.508715964	7.411771553	NA	NA	NA	NA	NA	NA
"434"	0.024685394	0.008142096	6.564344944	0.00371156	0.003996405	6.604880399	NA	NA	NA	NA	NA	NA
"441"	0.00215809533333333	0.003841085	0.107288812666667	0.023515587	0.00184052333333333	0.207597521	0.000276670250092657	0.00432063877270769	0.0159753931847629	0.0212016265255267	0.00318787992584936	0.0231530860214183
"445"	0.0157033755	0.00547743225	0.017567622	0.0052467105	0	0.0556967295	0.0277424026173569	0.00767000112799863	0.0201299145753256	0.010493421	0	0.059183256861275
"449"	0.061019997	0.201194292	1.938961998	0.054693607	0.700985335	2.956855228	NA	NA	NA	NA	NA	NA
"73"	0.33138311825	0.365048396	6.77286675875	0.7668904645	1.24616793175	10.370735994	0.652131808189004	0.275394263817104	1.23504835007446	0.519126796453632	0.373564558445168	1.64121833460765
"Elite"	0.46828514	0.0141057736666667	0	0.0280217976666667	0	0.510412711333333	0.124666645111385	0.00350044548993072	0	0.0196454279385215	0	0.10741818549696
"F1"	0.6093924545	0.03504051925	0.24664784325	0.00718324075	0.01062104475	0.9088851025	0.2738948778898	0.0116660052257195	0.0871137901864405	0.00538055798500629	0.0064395008022019	0.243047068081709
"PI127826"	0.77137931	1.444613527	14.7451566065	0.32015362625	0.44073651975	17.72203959125	0.601803601455321	0.729779919857782	7.2284993027482	0.598778718680675	0.534791559658807	9.00510110650086
