"Sequence_ID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc00g013180"	46.7928515947235	-1.47505366429399	1.02340061336875	-1.4413257575042	NA	NA
"Solyc00g014790"	13.0947695817948	-0.153699490323726	1.22211496714818	-0.125765164862014	0.89991781718898	0.999560357472563
"Solyc00g014850"	35.2448934432913	-1.93455587753689	1.35183968859058	-1.43105420995136	NA	NA
"Solyc00g019750"	48.1091338557463	-1.26154957177694	1.12397961450461	-1.12239542025232	0.261694350848078	0.999560357472563
"Solyc00g019950"	35.1168747745117	-1.07411560059736	1.06266910429978	-1.01077145863304	NA	NA
"Solyc00g019970"	108.583650552363	-1.73957297961667	1.18445008650216	-1.46867563221163	NA	NA
"Solyc00g019980"	145.191442692258	-2.24834892612995	1.50671618887308	-1.49221793907422	NA	NA
"Solyc00g019990"	73.0168549686669	-1.51545736983511	1.51526940461764	-1.00012404739177	0.317250479911777	0.999560357472563
"Solyc00g020000"	32.3825970235483	-2.17077701782067	1.9396300613159	-1.11917064037869	0.263067348133274	0.999560357472563
"Solyc00g020010"	50.6561246937337	-1.56246949258566	1.70989166053719	-0.913782743460359	0.360831015726411	0.999560357472563
"Solyc00g020020"	112.107828557832	-1.63229185378975	1.30471756773494	-1.25106911576541	NA	NA
"Solyc00g020040"	62.2932708399386	0.296901350977812	1.2557917039699	0.236425634951423	0.813102406136429	0.999560357472563
"Solyc00g021630"	72.4998710556436	0.0519848766530842	0.483322382950353	0.107557354028903	0.914346827224966	0.999560357472563
"Solyc00g021640"	131.817860522458	-1.69372119297553	0.943443287513447	-1.79525490868616	0.0726130956859574	0.999560357472563
"Solyc00g021660"	63.2341336772136	-1.39749264088241	1.13645786028838	-1.22969156157518	0.218812627956604	0.999560357472563
"Solyc00g022100"	21.3387407302577	-0.382648886614244	0.700149999385261	-0.546524154752859	0.584705688561132	0.999560357472563
"Solyc00g023590"	27.2980144136347	-0.651585950616031	1.06231986805574	-0.613361352083684	0.539637434680043	0.999560357472563
"Solyc00g025400"	58.4292189854213	-1.06185905311813	0.843707613985579	-1.25856284276259	0.208188275196049	0.999560357472563
"Solyc00g047200"	10.8904727124957	0.361831687244058	1.13333593372864	0.319262520913498	0.749527450646753	0.999560357472563
"Solyc00g049210"	47.0042785171126	-1.33053681851738	1.30102273693188	-1.02268529269142	NA	NA
"Solyc00g052430"	22.5349635771577	-0.818123775325492	0.57353455266675	-1.42645943739829	0.153735767424912	0.999560357472563
"Solyc00g069880"	14.8657296236066	0.128981113123078	1.57916293821888	0.0816768871669152	0.934903658306622	0.999560357472563
"Solyc00g072800"	24.2134723823561	-0.613150153368059	0.78572061789219	-0.780366633387989	0.435175101930197	0.999560357472563
"Solyc00g094530"	41.6052826673419	-0.928474727523995	0.855437384506088	-1.08538011588081	0.277753335411958	0.999560357472563
"Solyc00g094540"	26.6468695332589	-1.31567894235358	1.27925227209959	-1.02847497014347	NA	NA
"Solyc00g112190"	14.8453124002636	-0.12962283732721	0.889604818377604	-0.145708335487218	0.884151640836237	0.999560357472563
"Solyc00g118680"	34.3405715946267	-0.886297772931694	0.947422926422276	-0.935482716550457	0.349539586313255	0.999560357472563
"Solyc00g118690"	23.2319469367222	-1.06476643388199	1.05183433222156	-1.01229480847342	0.311397116370389	0.999560357472563
"Solyc00g125980"	63.8783985000292	-2.04596035390394	1.508891973477	-1.35593560696685	0.175119657083753	0.999560357472563
"Solyc00g125990"	21.6839026842641	-0.782984914003386	1.23289712980494	-0.635077246166728	0.525378036275682	0.999560357472563
"Solyc00g142170"	25.8827840201312	-1.25109072132394	1.50079676312651	-0.833617683661328	0.404496457454482	0.999560357472563
"Solyc00g180440"	43.5889850379217	-0.82411769092289	0.783885106909924	-1.05132459292608	0.293109535724489	0.999560357472563
"Solyc00g244290"	17.2835910694914	-2.23527822025458	2.15521784959124	-1.03714722884209	0.299667247320111	0.999560357472563
"Solyc00g277510"	131.567066929985	0.638323245540831	2.81860223567657	0.226468012215853	0.820837435522419	0.999560357472563
"Solyc00g320430"	73.0324650222327	-2.33366182192746	1.64554891286081	-1.41816618375103	NA	NA
"Solyc00g500002"	18.4787778866945	0.676798957663183	1.43950975236838	0.470159341782623	0.638241179988092	0.999560357472563
"Solyc00g500020"	48.0931159574372	-0.448965252556491	0.560950437892825	-0.800365276909313	0.423499192820584	0.999560357472563
"Solyc00g500021"	138.171665453379	0.0991627920877364	0.44295204438725	0.223868008612335	0.822860009394682	0.999560357472563
"Solyc00g500022"	87.3942629988796	-0.520445054301086	0.793743265850871	-0.655684371373133	0.512027226653046	0.999560357472563
"Solyc00g500023"	1153.32886727935	-0.946018345207106	1.16757971401426	-0.810238764730328	0.417802961899084	0.999560357472563
"Solyc00g500024"	119.605262378459	-0.261429215133559	0.390549315264474	-0.669388486717798	0.503247694022795	0.999560357472563
"Solyc00g500025"	33.6691309844984	0.32967718855156	0.559057990945282	0.589701236528479	0.555390966076734	0.999560357472563
"Solyc00g500027"	68.4289923808919	-0.247988301067709	0.429954950399004	-0.576777406185399	0.564089834256722	0.999560357472563
"Solyc00g500028"	26.9509157087802	-0.0505968381125804	0.48250302490133	-0.104863255775292	0.916484315812194	0.999560357472563
"Solyc00g500030"	28.4034244712493	-0.867263571858687	1.14682653235651	-0.756229078583162	0.449511861260548	0.999560357472563
"Solyc00g500031"	79.3570719141058	-0.601145365975084	1.05492740299076	-0.569845246479341	0.568782664084479	0.999560357472563
"Solyc00g500032"	107.656120159574	-0.596543618793221	1.32398499053122	-0.450566753444745	0.652301832909589	0.999560357472563
"Solyc00g500034"	1246.54249331698	-0.628197718788682	1.47854670806177	-0.424875125935106	0.670927708318498	0.999560357472563
"Solyc00g500035"	133.645493443694	-0.0232839417552339	1.52888228166188	-0.0152293881841082	0.98784917599798	0.999560357472563
"Solyc00g500036"	367.125564945392	-0.338725499135591	1.22918322834095	-0.275569574434216	0.782878681189009	0.999560357472563
"Solyc00g500037"	22.1120768515982	-0.135704045626792	0.455360640166285	-0.298014438791277	0.765692143500876	0.999560357472563
"Solyc00g500039"	256.269106059098	-0.423538074910461	0.48583692194651	-0.871770044181805	0.383333839698082	0.999560357472563
"Solyc00g500041"	100.598613303229	-0.847181072060947	0.746710388572365	-1.13455107231154	0.256563463334773	0.999560357472563
"Solyc00g500042"	1585.3108922139	-0.580065976594842	1.5498954556391	-0.374261357102728	0.708209878940039	0.999560357472563
"Solyc00g500044"	256.269106059098	-0.423538074910461	0.48583692194651	-0.871770044181805	0.383333839698082	0.999560357472563
"Solyc00g500046"	22.1120768515982	-0.135704045626792	0.455360640166285	-0.298014438791277	0.765692143500876	0.999560357472563
"Solyc00g500047"	3173.30839128869	-0.240956361609156	1.4620127506525	-0.164811395455762	0.869092434426097	0.999560357472563
"Solyc00g500048"	39.737740049361	-0.84895776844044	1.03946299220366	-0.816727266682817	0.414084305478823	0.999560357472563
"Solyc00g500052"	10.8878447561442	-1.52671009237153	1.46157982520212	-1.04456155322232	0.29622565666991	0.999560357472563
"Solyc00g500053"	9.57287998502648	-0.557009465497416	1.13180839538119	-0.492141132519004	0.622619576166397	0.999560357472563
"Solyc00g500054"	171.06986509714	-0.0522337615665337	0.498943892935351	-0.104688647974496	0.916622870065086	0.999560357472563
"Solyc00g500055"	21.4478677580125	0.848537364827118	0.62665143033051	1.35408190862914	0.175710247312288	0.999560357472563
"Solyc00g500056"	71.3958939966268	0.277558366383288	0.364421284244936	0.761641480294918	0.446274010758685	0.999560357472563
"Solyc00g500057"	91.6343238293973	0.0858591580107828	0.376852969433453	0.227831979511427	0.819776864359647	0.999560357472563
"Solyc00g500058"	162.709523330813	-0.820895270189264	1.23901420122204	-0.662539032546691	0.507625828262674	0.999560357472563
"Solyc00g500059"	20.2536971130557	-0.60741026542357	1.13308885593885	-0.536065871833401	0.591913025799009	0.999560357472563
"Solyc00g500060"	58.7842924513144	-1.11044724307802	1.07519383145939	-1.03278795933081	0.301703139709452	0.999560357472563
"Solyc00g500061"	32.3559567301242	-0.342839603554453	0.756207114747368	-0.453367333986257	0.650284254439842	0.999560357472563
"Solyc00g500062"	62.5030089488576	-0.332888497224165	0.837069936730854	-0.397683016217556	0.690863858191632	0.999560357472563
"Solyc00g500063"	26722.4050451351	-0.957761121608658	1.31103904785989	-0.730535923527286	0.465062662849628	0.999560357472563
"Solyc00g500065"	33.0174741732602	-0.438097004351893	0.714858744723566	-0.612844156395267	0.539979390811157	0.999560357472563
"Solyc00g500066"	26.9652050112163	-1.03145772530028	0.546896683659244	-1.88601934537045	0.0592923478008839	0.999560357472563
"Solyc00g500067"	48.0931159574372	-0.448965252556491	0.560950437892825	-0.800365276909313	0.423499192820584	0.999560357472563
