"genotype"	"phenotype"	"N"	"volume_um"	"sd"	"se"	"ci"
"CV"	"lazy"	7	490.860092185714	460.886162982901	174.198595709077	426.248608293351
"PI127826"	"active"	15	35487.101974	11450.5652576198	2956.52323649484	6341.1116801538
"F1"	"lazy"	11	2481.62503136364	915.045386832319	275.896564933492	614.735855457868
"F2-151"	"lazy"	7	4165.00707628571	1254.69322944951	474.229465257128	1160.39769869981
"F2-411"	"lazy"	6	1103.66666666667	538.044112194034	219.655588997361	564.642667172613
"F2-445"	"lazy"	6	651.8973895	177.371472822082	72.4116005566726	186.139945080335
"F2-28"	"active"	11	16067.1227478182	6294.98779710344	1898.01023480527	4229.03034563722
"F2-73"	"active"	14	13940.9793182857	9744.43955368626	2604.31101685874	5626.27189250236
"F2-127"	"active"	9	21553.1803223333	7076.30286870205	2358.76762290068	5439.32789239467
