plant;background;surface;name;date;NonGlandular;TypeVI_L;TypeVI_H;TypeVI_I;TypeIandIV;TypeVII;sum_type_VI;sum_glandular;avg_type_VI
184;F2;adaxial;Michelle;20-mrt;1;4;0;0;4;0;4;8;1,333333333
184;F2;abaxial;Michelle;20-mrt;1;4;0;0;4;0;4;8;1,333333333
185;F2;adaxial;Aleksandra;20-mrt;1;0;3;0;0;0;3;3;1
185;F2;abaxial;Aleksandra;20-mrt;3;0;1;0;1;0;1;2;0,333333333
186;F2;adaxial;Marc;20-mrt;1;0;2;0;1;0;2;3;0,666666667
186;F2;abaxial;Marc;20-mrt;1;0;1;0;2;0;1;3;0,333333333
188;F2;adaxial;Aleksandra;20-mrt;1;0;0;1;2;0;1;3;0,333333333
188;F2;abaxial;Aleksandra;20-mrt;1;0;0;1;3;0;1;4;0,333333333
189;F2;adaxial;Aleksandra;20-mrt;1;0;1;0;2;0;1;3;0,333333333
189;F2;abaxial;Aleksandra;20-mrt;1;0;1;0;1;0;1;2;0,333333333
190;F2;adaxial;Marc;20-mrt;1;0;3;0;1;0;3;4;1
190;F2;abaxial;Marc;20-mrt;2;0;2;0;3;0;2;5;0,666666667
191;F2;abaxial;Michelle;20-mrt;2;3;0;0;2;0;3;5;1
191;F2;adaxial;Michelle;20-mrt;1;1;0;0;2;0;1;3;0,333333333
192;F2;adaxial;Aleksandra;20-mrt;1;0;1;0;3;0;1;4;0,333333333
192;F2;abaxial;Aleksandra;20-mrt;2;0;1;0;1;0;1;2;0,333333333
194;F2;adaxial;Marc;20-mrt;1;0;3;0;1;0;3;4;1
194;F2;abaxial;Marc;20-mrt;2;0;2;0;2;0;2;4;0,666666667
195;F2;adaxial;Michelle;20-mrt;1;3;0;0;1;0;3;4;1
195;F2;abaxial;Michelle;20-mrt;2;3;0;0;0;0;3;3;1
196;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
196;F2;abaxial;Marc;20-mrt;2;0;1;0;3;0;1;4;0,333333333
197;F2;adaxial;Marc;20-mrt;1;0;3;0;1;0;3;4;1
197;F2;abaxial;Marc;20-mrt;2;0;2;0;3;0;2;5;0,666666667
198;F2;adaxial;Aleksandra;20-mrt;1;0;3;0;2;0;3;5;1
198;F2;abaxial;Aleksandra;20-mrt;1;0;1;0;3;0;1;4;0,333333333
199;F2;adaxial;Marc;20-mrt;1;0;2;0;1;0;2;3;0,666666667
199;F2;abaxial;Marc;20-mrt;2;0;1;0;1;0;1;2;0,333333333
200;F2;adaxial;Aleksandra;20-mrt;1;0;1;0;1;0;1;2;0,333333333
200;F2;abaxial;Aleksandra;20-mrt;2;0;1;0;2;0;1;3;0,333333333
201;F2;abaxial;Michelle;20-mrt;1;1;0;0;1;0;1;2;0,333333333
201;F2;adaxial;Michelle;20-mrt;1;0;0;0;0;0;0;0;0
202;F2;adaxial;Marc;20-mrt;1;0;1;0;2;0;1;3;0,333333333
202;F2;abaxial;Marc;20-mrt;1;0;1;0;3;0;1;4;0,333333333
203;F2;adaxial;Aleksandra;20-mrt;2;0;0;3;1;0;3;4;1
203;F2;abaxial;Aleksandra;20-mrt;3;0;0;3;1;0;3;4;1
203;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;2;0;3;5;1
203;F2;abaxial;Aleksandra;21-mrt;2;0;0;1;4;0;1;5;0,333333333
204;F2;adaxial;Petra;20-mrt;1;0;3;0;1;0;3;4;1
204;F2;abaxial;Petra;20-mrt;3;0;3;0;3;0;3;6;1
205;F2;abaxial;Marc;20-mrt;1;0;3;0;2;0;3;5;1
205;F2;abaxial;Petra;20-mrt;2;0;3;0;2;0;3;5;1
205;F2;adaxial;Petra;20-mrt;2;0;2;0;2;0;2;4;0,666666667
205;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
206;F2;adaxial;Aleksandra;20-mrt;1;0;0;3;3;0;3;6;1
206;F2;adaxial;Petra;20-mrt;1;0;3;0;1;0;3;4;1
206;F2;abaxial;Petra;20-mrt;3;0;2;0;0;0;2;2;0,666666667
206;F2;abaxial;Aleksandra;20-mrt;1;0;0;1;3;0;1;4;0,333333333
208;F2;adaxial;Petra;20-mrt;2;0;2;0;0;0;2;2;0,666666667
208;F2;abaxial;Petra;20-mrt;2;0;2;0;1;0;2;3;0,666666667
208;F2;adaxial;Michelle;20-mrt;1;2;0;0;1;0;2;3;0,666666667
208;F2;abaxial;Michelle;20-mrt;2;2;0;0;1;0;2;3;0,666666667
209;F2;abaxial;Michelle;20-mrt;2;4;0;0;2;0;4;6;1,333333333
209;F2;adaxial;Michelle;20-mrt;1;1;0;0;0;0;1;1;0,333333333
211;F2;adaxial;Aleksandra;20-mrt;1;0;0;3;3;0;3;6;1
211;F2;abaxial;Aleksandra;20-mrt;1;0;0;1;3;0;1;4;0,333333333
212;F2;adaxial;Marc;20-mrt;1;0;2;0;1;0;2;3;0,666666667
212;F2;abaxial;Marc;20-mrt;2;0;1;0;2;0;1;3;0,333333333
214;F2;adaxial;Aleksandra;20-mrt;1;0;1;0;1;0;1;2;0,333333333
214;F2;abaxial;Aleksandra;20-mrt;1;0;1;0;2;0;1;3;0,333333333
215;F2;abaxial;Petra;20-mrt;2;0;3;0;1;0;3;4;1
215;F2;adaxial;Petra;20-mrt;1;0;2;0;0;0;2;2;0,666666667
216;F2;adaxial;Aleksandra;20-mrt;2;0;0;3;2;0;3;5;1
216;F2;abaxial;Aleksandra;20-mrt;1;0;0;1;3;0;1;4;0,333333333
217;F2;adaxial;Petra;20-mrt;1;0;3;0;2;0;3;5;1
217;F2;abaxial;Petra;20-mrt;1;0;1;0;1;0;1;2;0,333333333
218;F2;adaxial;Petra;20-mrt;2;0;2;0;1;0;2;3;0,666666667
218;F2;abaxial;Petra;20-mrt;1;0;2;0;1;0;2;3;0,666666667
219;F2;adaxial;Aleksandra;20-mrt;1;0;2;0;1;0;2;3;0,666666667
219;F2;abaxial;Aleksandra;20-mrt;1;0;1;0;2;0;1;3;0,333333333
220;F2;adaxial;Aleksandra;20-mrt;2;0;0;3;3;0;3;6;1
220;F2;abaxial;Aleksandra;20-mrt;2;0;0;1;3;0;1;4;0,333333333
221;F2;adaxial;Aleksandra;20-mrt;2;0;0;3;1;0;3;4;1
221;F2;abaxial;Aleksandra;20-mrt;3;0;0;1;2;0;1;3;0,333333333
222;F2;adaxial;Michelle;20-mrt;1;1;0;0;1;0;1;2;0,333333333
222;F2;abaxial;Michelle;20-mrt;1;1;0;0;1;0;1;2;0,333333333
223;F2;adaxial;Aleksandra;20-mrt;1;0;2;0;1;0;2;3;0,666666667
223;F2;abaxial;Aleksandra;20-mrt;2;0;1;0;1;0;1;2;0,333333333
224;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
224;F2;abaxial;Marc;20-mrt;1;0;1;0;3;0;1;4;0,333333333
225;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
225;F2;abaxial;Marc;20-mrt;1;0;1;0;2;0;1;3;0,333333333
226;F2;adaxial;Aleksandra;20-mrt;1;0;3;0;1;0;3;4;1
226;F2;abaxial;Aleksandra;20-mrt;2;0;1;0;2;0;1;3;0,333333333
227;F2;adaxial;Marc;20-mrt;1;0;2;0;2;0;2;4;0,666666667
227;F2;abaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
228;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
228;F2;abaxial;Marc;20-mrt;1;0;1;0;2;0;1;3;0,333333333
229;F2;adaxial;Aleksandra;20-mrt;1;2;0;0;1;0;2;3;0,666666667
229;F2;abaxial;Aleksandra;20-mrt;3;1;0;0;0;0;1;1;0,333333333
230;F2;adaxial;Aleksandra;20-mrt;2;0;3;0;1;0;3;4;1
230;F2;abaxial;Aleksandra;20-mrt;3;0;1;0;1;0;1;2;0,333333333
231;F2;adaxial;Marc;20-mrt;1;0;0;2;1;0;2;3;0,666666667
231;F2;abaxial;Marc;20-mrt;2;0;0;2;3;0;2;5;0,666666667
232;F2;adaxial;Aleksandra;20-mrt;1;0;0;3;3;0;3;6;1
232;F2;abaxial;Aleksandra;20-mrt;3;0;0;1;3;0;1;4;0,333333333
233;F2;adaxial;Michelle;20-mrt;1;1;0;0;0;0;1;1;0,333333333
233;F2;abaxial;Michelle;20-mrt;2;1;0;0;0;0;1;1;0,333333333
234;F2;abaxial;Michelle;20-mrt;1;3;0;0;1;0;3;4;1
234;F2;adaxial;Michelle;20-mrt;1;1;0;0;1;0;1;2;0,333333333
235;F2;adaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
235;F2;abaxial;Marc;20-mrt;1;0;1;0;1;0;1;2;0,333333333
236;F2;adaxial;Michelle;20-mrt;1;1;0;0;1;0;1;2;0,333333333
236;F2;abaxial;Michelle;20-mrt;1;0;0;0;1;0;0;1;0
237;F2;abaxial;Michelle;20-mrt;2;1;0;0;2;0;1;3;0,333333333
237;F2;adaxial;Michelle;20-mrt;2;0;0;0;1;0;0;1;0
238;F2;adaxial;Aleksandra;21-mrt;3;0;4;0;0;0;4;4;1,333333333
238;F2;adaxial;Marc;20-mrt;1;0;2;0;2;0;2;4;0,666666667
238;F2;abaxial;Marc;20-mrt;2;0;2;0;2;0;2;4;0,666666667
238;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;4;0;1;5;0,333333333
239;F2;adaxial;Aleksandra;21-mrt;4;0;4;0;0;0;4;4;1,333333333
239;F2;abaxial;Aleksandra;21-mrt;4;0;1;0;0;0;1;1;0,333333333
240;F2;adaxial;Rob;21-mrt;1;0;3;0;0;0;3;3;1
240;F2;abaxial;Rob;21-mrt;0;0;1;0;2;0;1;3;0,333333333
241;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;1;0;2;3;0,666666667
241;F2;abaxial;Aleksandra;21-mrt;3;0;0;0;3;0;0;3;0
242;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;2;0;3;5;1
242;F2;abaxial;Aleksandra;21-mrt;2;0;0;0;2;0;0;2;0
243;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;1;0;2;3;0,666666667
243;F2;abaxial;Aleksandra;21-mrt;4;0;0;0;2;0;0;2;0
244;F2;adaxial;Aleksandra;21-mrt;1;0;4;0;1;0;4;5;1,333333333
244;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;3;0;1;4;0,333333333
245;F2;adaxial;Sanne;21-mrt;4;0;3;0;1;0;3;4;1
245;F2;abaxial;Sanne;21-mrt;4;0;2;0;3;0;2;5;0,666666667
246;F2;adaxial;Rob;21-mrt;1;2;0;0;0;0;2;2;0,666666667
246;F2;abaxial;Rob;21-mrt;1;0;0;1;0;0;1;1;0,333333333
247;F2;adaxial;Rob;21-mrt;1;0;2;0;0;0;2;2;0,666666667
247;F2;abaxial;Rob;21-mrt;1;0;0;0;1;0;0;1;0
248;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;2;0;2;4;0,666666667
248;F2;abaxial;Aleksandra;21-mrt;1;0;1;0;4;0;1;5;0,333333333
249;F2;adaxial;Aleksandra;21-mrt;1;0;0;1;0;0;1;1;0,333333333
249;F2;abaxial;Aleksandra;21-mrt;2;0;0;1;3;0;1;4;0,333333333
250;F2;adaxial;Sanne;21-mrt;2;0;4;0;2;0;4;6;1,333333333
250;F2;abaxial;Sanne;21-mrt;2;0;2;0;3;0;2;5;0,666666667
251;F2;adaxial;Rob;21-mrt;0;3;0;0;1;0;3;4;1
251;F2;abaxial;Rob;21-mrt;1;1;0;0;2;0;1;3;0,333333333
252;F2;adaxial;Sanne;21-mrt;1;0;0;2;1;0;2;3;0,666666667
252;F2;abaxial;Sanne;21-mrt;1;0;0;2;1;0;2;3;0,666666667
253;F2;adaxial;Rob;21-mrt;1;3;0;0;0;0;3;3;1
253;F2;abaxial;Rob;21-mrt;1;1;0;0;0;0;1;1;0,333333333
254;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;1;0;2;3;0,666666667
254;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;1;0;1;2;0,333333333
255;F2;adaxial;Sanne;21-mrt;4;0;4;0;0;0;4;4;1,333333333
255;F2;abaxial;Sanne;21-mrt;4;0;4;0;0;0;4;4;1,333333333
256;F2;adaxial;Sanne;21-mrt;3;0;2;0;0;0;2;2;0,666666667
256;F2;abaxial;Sanne;21-mrt;3;0;2;0;0;0;2;2;0,666666667
257;F2;adaxial;Aleksandra;21-mrt;0;0;4;0;1;0;4;5;1,333333333
257;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;2;0;1;3;0,333333333
258;F2;adaxial;Aleksandra;21-mrt;0;0;2;0;2;0;2;4;0,666666667
258;F2;abaxial;Aleksandra;21-mrt;1;0;0;0;2;0;0;2;0
259;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;1;0;2;3;0,666666667
259;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;1;0;1;2;0,333333333
260;F2;adaxial;Aleksandra;21-mrt;1;0;1;0;1;0;1;2;0,333333333
260;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;3;0;1;4;0,333333333
261;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;1;0;3;4;1
261;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;2;0;1;3;0,333333333
262;F2;adaxial;Rob;21-mrt;0;0;3;0;2;0;3;5;1
262;F2;abaxial;Rob;21-mrt;1;0;0;0;1;0;0;1;0
264;F2;abaxial;Sanne;21-mrt;2;0;3;0;1;0;3;4;1
264;F2;adaxial;Sanne;21-mrt;1;0;2;0;1;0;2;3;0,666666667
265;F2;adaxial;Rob;21-mrt;1;2;0;0;0;0;2;2;0,666666667
265;F2;abaxial;Rob;21-mrt;2;1;0;0;0;0;1;1;0,333333333
266;F2;adaxial;Aleksandra;21-mrt;2;0;1;0;1;0;1;2;0,333333333
266;F2;abaxial;Aleksandra;21-mrt;3;0;0;0;1;0;0;1;0
267;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;3;0;3;6;1
267;F2;abaxial;Aleksandra;21-mrt;2;0;0;0;4;0;0;4;0
268;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;2;0;2;4;0,666666667
268;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;2;0;1;3;0,333333333
269;F2;adaxial;Aleksandra;21-mrt;1;0;4;0;1;0;4;5;1,333333333
269;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;2;0;1;3;0,333333333
270;F2;adaxial;Aleksandra;21-mrt;2;0;2;0;1;0;2;3;0,666666667
270;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;2;0;1;3;0,333333333
271;F2;adaxial;Rob;21-mrt;1;1;0;0;0;0;1;1;0,333333333
271;F2;abaxial;Rob;21-mrt;2;1;0;0;1;0;1;2;0,333333333
272;F2;adaxial;Sanne;21-mrt;2;0;2;0;0;0;2;2;0,666666667
272;F2;abaxial;Sanne;21-mrt;4;0;2;0;0;0;2;2;0,666666667
273;F2;adaxial;Rob;21-mrt;1;2;1;0;0;0;3;3;1
273;F2;abaxial;Rob;21-mrt;0;0;0;2;2;0;2;4;0,666666667
274;F2;adaxial;Sanne;21-mrt;3;0;4;0;1;0;4;5;1,333333333
274;F2;abaxial;Sanne;21-mrt;4;0;3;0;4;0;3;7;1
275;F2;adaxial;Sanne;21-mrt;2;0;0;0;0;0;0;0;0
275;F2;abaxial;Sanne;21-mrt;2;0;0;0;0;0;0;0;0
276;F2;adaxial;Sanne;21-mrt;2;0;4;0;0;0;4;4;1,333333333
276;F2;abaxial;Sanne;21-mrt;3;0;3;0;3;0;3;6;1
277;F2;adaxial;Rob;21-mrt;1;1;0;0;2;0;1;3;0,333333333
277;F2;abaxial;Rob;21-mrt;0;0;0;0;2;0;0;2;0
278;F2;adaxial;Sanne;21-mrt;1;0;2;0;1;0;2;3;0,666666667
278;F2;abaxial;Sanne;21-mrt;3;0;2;0;3;0;2;5;0,666666667
279;F2;adaxial;Sanne;21-mrt;1;0;4;0;3;0;4;7;1,333333333
279;F2;abaxial;Sanne;21-mrt;4;0;4;0;4;0;4;8;1,333333333
280;F2;adaxial;Sanne;21-mrt;1;0;0;4;0;0;4;4;1,333333333
280;F2;abaxial;Sanne;21-mrt;3;0;0;4;0;0;4;4;1,333333333
281;F2;adaxial;Rob;21-mrt;0;1;0;0;1;0;1;2;0,333333333
281;F2;abaxial;Rob;21-mrt;0;1;0;0;2;0;1;3;0,333333333
282;F2;adaxial;Aleksandra;21-mrt;2;0;3;0;2;0;3;5;1
282;F2;abaxial;Aleksandra;21-mrt;3;0;2;0;1;0;2;3;0,666666667
284;F2;adaxial;Rob;21-mrt;1;0;1;0;0;0;1;1;0,333333333
284;F2;abaxial;Rob;21-mrt;2;0;1;0;0;0;1;1;0,333333333
285;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;0;0;2;2;0,666666667
285;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;3;0;1;4;0,333333333
286;F2;adaxial;Rob;21-mrt;0;0;0;0;1;0;0;1;0
286;F2;abaxial;Rob;21-mrt;1;0;0;0;1;0;0;1;0
287;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;3;0;3;6;1
287;F2;abaxial;Aleksandra;21-mrt;1;0;3;0;3;0;3;6;1
288;F2;adaxial;Rob;21-mrt;1;0;3;0;1;0;3;4;1
288;F2;abaxial;Rob;21-mrt;2;0;1;0;1;0;1;2;0,333333333
289;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;3;0;3;6;1
289;F2;abaxial;Aleksandra;21-mrt;3;0;2;0;3;0;2;5;0,666666667
290;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;3;0;3;6;1
290;F2;abaxial;Aleksandra;21-mrt;1;0;1;0;4;0;1;5;0,333333333
291;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;2;0;3;5;1
291;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;4;0;1;5;0,333333333
292;F2;adaxial;Rob;21-mrt;1;0;0;0;0;0;0;0;0
292;F2;abaxial;Rob;21-mrt;1;0;0;0;0;0;0;0;0
293;F2;adaxial;Rob;21-mrt;1;2;0;0;0;0;2;2;0,666666667
293;F2;abaxial;Rob;21-mrt;2;0;0;0;0;0;0;0;0
294;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;4;0;3;7;1
294;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;4;0;1;5;0,333333333
295;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;1;0;3;4;1
295;F2;abaxial;Aleksandra;21-mrt;2;0;0;1;1;0;1;2;0,333333333
296;F2;adaxial;Rob;21-mrt;1;0;3;0;0;0;3;3;1
296;F2;abaxial;Rob;21-mrt;1;0;0;0;2;0;0;2;0
297;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;2;0;2;4;0,666666667
297;F2;abaxial;Aleksandra;21-mrt;1;0;1;0;4;0;1;5;0,333333333
298;F2;adaxial;Sanne;21-mrt;1;0;0;3;1;0;3;4;1
298;F2;abaxial;Sanne;21-mrt;4;0;0;3;4;0;3;7;1
299;F2;adaxial;Sanne;21-mrt;1;0;0;4;1;2;4;7;1,333333333
299;F2;abaxial;Sanne;21-mrt;4;0;0;1;4;1;1;6;0,333333333
300;F2;abaxial;Sanne;21-mrt;4;0;2;0;1;0;2;3;0,666666667
300;F2;adaxial;Sanne;21-mrt;2;0;1;0;0;1;1;2;0,333333333
301;F2;adaxial;Sanne;21-mrt;3;0;0;4;0;0;4;4;1,333333333
301;F2;abaxial;Sanne;21-mrt;4;0;0;4;1;0;4;5;1,333333333
302;F2;adaxial;Sanne;21-mrt;2;0;0;4;3;0;4;7;1,333333333
302;F2;abaxial;Sanne;21-mrt;4;0;0;3;1;0;3;4;1
304;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;2;0;2;4;0,666666667
304;F2;abaxial;Aleksandra;21-mrt;2;0;1;0;3;0;1;4;0,333333333
305;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;3;0;2;5;0,666666667
305;F2;abaxial;Aleksandra;21-mrt;0;0;1;0;4;0;1;5;0,333333333
306;F2;adaxial;Rob;21-mrt;1;0;2;0;0;0;2;2;0,666666667
306;F2;abaxial;Rob;21-mrt;2;0;1;0;0;0;1;1;0,333333333
307;F2;adaxial;Aleksandra;21-mrt;2;0;3;0;2;0;3;5;1
307;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;2;0;1;3;0,333333333
308;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;0;0;3;3;1
308;F2;abaxial;Aleksandra;21-mrt;1;0;0;1;1;0;1;2;0,333333333
309;F2;adaxial;Rob;21-mrt;0;3;0;0;2;0;3;5;1
309;F2;abaxial;Rob;21-mrt;0;1;0;0;3;0;1;4;0,333333333
310;F2;adaxial;Aleksandra;21-mrt;2;0;0;2;1;0;2;3;0,666666667
310;F2;abaxial;Aleksandra;21-mrt;4;0;0;1;3;0;1;4;0,333333333
311;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;1;0;2;3;0,666666667
311;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;1;0;1;2;0,333333333
312;F2;adaxial;Rob;21-mrt;1;3;0;0;1;0;3;4;1
312;F2;abaxial;Rob;21-mrt;1;2;0;0;1;0;2;3;0,666666667
313;F2;adaxial;Aleksandra;21-mrt;1;0;0;2;2;0;2;4;0,666666667
313;F2;abaxial;Aleksandra;21-mrt;1;0;0;0;3;0;0;3;0
314;F2;adaxial;Aleksandra;21-mrt;1;0;4;0;0;0;4;4;1,333333333
314;F2;abaxial;Aleksandra;21-mrt;4;0;0;0;1;0;0;1;0
315;F2;adaxial;Sanne;21-mrt;2;0;3;0;0;0;3;3;1
315;F2;abaxial;Sanne;21-mrt;2;0;3;0;1;0;3;4;1
317;F2;abaxial;Rob;21-mrt;1;1;0;0;2;0;1;3;0,333333333
317;F2;adaxial;Rob;21-mrt;0;0;0;0;2;0;0;2;0
318;F2;adaxial;Aleksandra;21-mrt;0;0;4;0;1;0;4;5;1,333333333
318;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;3;0;1;4;0,333333333
319;F2;adaxial;Sanne;21-mrt;1;0;4;0;2;1;4;7;1,333333333
319;F2;abaxial;Sanne;21-mrt;3;0;3;0;4;0;3;7;1
321;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;0;0;3;3;1
321;F2;abaxial;Aleksandra;21-mrt;4;0;0;1;1;0;1;2;0,333333333
322;F2;abaxial;Sanne;21-mrt;3;0;0;4;0;1;4;5;1,333333333
322;F2;adaxial;Sanne;21-mrt;1;0;0;3;0;2;3;5;1
323;F2;adaxial;Rob;21-mrt;1;3;0;0;0;0;3;3;1
323;F2;abaxial;Rob;21-mrt;1;1;0;0;1;0;1;2;0,333333333
324;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;3;0;3;6;1
324;F2;abaxial;Aleksandra;21-mrt;4;0;0;1;3;0;1;4;0,333333333
325;F2;adaxial;Aleksandra;21-mrt;1;0;2;0;2;0;2;4;0,666666667
325;F2;abaxial;Aleksandra;21-mrt;2;0;0;0;3;0;0;3;0
326;F2;adaxial;Rob;21-mrt;1;0;3;0;0;0;3;3;1
326;F2;abaxial;Rob;21-mrt;1;0;1;0;0;0;1;1;0,333333333
327;F2;adaxial;Aleksandra;21-mrt;1;0;0;3;1;0;3;4;1
327;F2;abaxial;Aleksandra;21-mrt;3;0;0;1;0;0;1;1;0,333333333
329;F2;adaxial;Rob;21-mrt;0;2;0;0;1;0;2;3;0,666666667
329;F2;abaxial;Rob;21-mrt;0;0;0;0;2;0;0;2;0
330;F2;adaxial;Sanne;21-mrt;1;0;4;0;0;2;4;6;1,333333333
330;F2;abaxial;Sanne;21-mrt;3;0;1;0;0;1;1;2;0,333333333
331;F2;adaxial;Rob;21-mrt;0;0;1;0;0;0;1;1;0,333333333
331;F2;abaxial;Rob;21-mrt;1;0;0;0;1;0;0;1;0
332;F2;adaxial;Aleksandra;21-mrt;1;0;4;0;1;0;4;5;1,333333333
332;F2;abaxial;Aleksandra;21-mrt;4;0;1;0;1;0;1;2;0,333333333
333;F2;abaxial;Sanne;21-mrt;2;0;2;0;0;1;2;3;0,666666667
333;F2;adaxial;Sanne;21-mrt;1;0;1;0;0;1;1;2;0,333333333
334;F2;adaxial;Sanne;21-mrt;1;0;3;0;0;1;3;4;1
334;F2;abaxial;Sanne;21-mrt;1;0;1;0;2;1;1;4;0,333333333
335;F2;adaxial;Sanne;21-mrt;2;0;0;2;1;1;2;4;0,666666667
335;F2;abaxial;Sanne;21-mrt;3;0;0;2;0;0;2;2;0,666666667
336;F2;adaxial;Aleksandra;21-mrt;2;0;0;1;0;0;1;1;0,333333333
336;F2;abaxial;Aleksandra;21-mrt;3;0;0;1;1;0;1;2;0,333333333
337;F2;adaxial;Rob;21-mrt;1;0;3;0;0;0;3;3;1
337;F2;abaxial;Rob;21-mrt;0;0;0;0;2;0;0;2;0
338;F2;abaxial;Sanne;21-mrt;3;0;2;0;0;2;2;4;0,666666667
338;F2;adaxial;Sanne;21-mrt;1;0;1;0;1;3;1;5;0,333333333
339;F2;adaxial;Rob;21-mrt;1;2;0;0;;0;2;2;0,666666667
339;F2;abaxial;Rob;21-mrt;2;0;0;0;0;0;0;0;0
340;F2;adaxial;Rob;21-mrt;0;0;0;1;1;0;1;2;0,333333333
340;F2;abaxial;Rob;21-mrt;0;0;0;0;1;0;0;1;0
341;F2;adaxial;Aleksandra;21-mrt;2;0;3;0;1;0;3;4;1
341;F2;abaxial;Aleksandra;21-mrt;4;0;0;0;4;0;0;4;0
343;F2;adaxial;Rob;21-mrt;0;1;0;0;1;0;1;2;0,333333333
343;F2;abaxial;Rob;21-mrt;0;1;0;0;1;0;1;2;0,333333333
344;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;0;0;3;3;1
344;F2;abaxial;Aleksandra;21-mrt;4;2;0;0;3;0;2;5;0,666666667
345;F2;adaxial;Aleksandra;21-mrt;1;0;3;0;1;0;3;4;1
345;F2;abaxial;Aleksandra;21-mrt;3;0;1;0;3;0;1;4;0,333333333
346;F2;adaxial;Sanne;22-mrt;1;0;2;0;2;0;2;4;0,666666667
346;F2;abaxial;Sanne;22-mrt;2;0;2;0;2;0;2;4;0,666666667
347;F2;abaxial;Aleksandra;22-mrt;4;0;0;3;0;0;3;3;1
347;F2;adaxial;Aleksandra;22-mrt;3;0;0;2;0;0;2;2;0,666666667
348;F2;adaxial;Aleksandra;22-mrt;3;0;0;4;2;0;4;6;1,333333333
348;F2;abaxial;Aleksandra;22-mrt;4;0;0;1;3;0;1;4;0,333333333
349;F2;adaxial;Aleksandra;22-mrt;2;0;4;0;1;0;4;5;1,333333333
349;F2;abaxial;Aleksandra;22-mrt;3;0;2;0;3;0;2;5;0,666666667
350;F2;adaxial;Sanne;22-mrt;2;0;1;0;1;0;1;2;0,333333333
350;F2;abaxial;Sanne;22-mrt;3;0;1;0;1;0;1;2;0,333333333
351;F2;adaxial;Sanne;22-mrt;2;0;0;2;1;0;2;3;0,666666667
351;F2;abaxial;Sanne;22-mrt;2;0;0;2;1;0;2;3;0,666666667
352;F2;adaxial;Aleksandra;22-mrt;1;0;3;0;1;0;3;4;1
352;F2;abaxial;Aleksandra;22-mrt;3;0;1;0;1;0;1;2;0,333333333
353;F2;adaxial;Sanne;22-mrt;3;3;0;0;1;0;3;4;1
353;F2;abaxial;Sanne;22-mrt;3;1;0;0;1;0;1;2;0,333333333
354;F2;adaxial;Sanne;22-mrt;1;0;1;0;0;0;1;1;0,333333333
354;F2;abaxial;Sanne;22-mrt;1;0;1;0;0;0;1;1;0,333333333
355;F2;adaxial;Aleksandra;22-mrt;1;0;0;2;0;0;2;2;0,666666667
