"target_id"	"name"	"pathway"	"log2FoldChange"	"padj"
"Solyc01g067890"	"DXS"	"MEP"	0.247788049139628	0.998227020487924
"Solyc11g010850"	"DXS"	"MEP"	-0.349178629552464	0.998227020487924
"Solyc08g066950"	"DXS"	"MEP"	-0.311403282648834	0.978812643079835
"Solyc03g114340"	"DXR"	"MEP"	-0.674271535743468	0.985716365631289
"Solyc01g102820"	"MCT"	"MEP"	-0.883061170810546	0.960193751478127
"Solyc01g009010"	"CMK"	"MEP"	-0.825275242571778	0.978319038374169
"Solyc08g081570"	"MDS"	"MEP"	0.00187483693639652	0.999729820309469
"Solyc11g069380"	"HDS"	"MEP"	-0.862933754843135	0.924361964667919
"Solyc01g109300"	"HDR"	"MEP"	-1.42831611636674	0.71312761664388
"Solyc04g056390"	"IDI1"	"MEP"	-0.63629243491313	NA
"Solyc05g055760"	"IDI2"	"MVA"	-1.17001863336831	0.381749506832909
"Solyc04g015100"	"AACT"	"MVA"	0.653479784236087	0.971908459975447
"Solyc05g017760"	"AACT"	"MVA"	-1.24213859829554	0.470532082575709
"Solyc07g045350"	"AACT"	"MVA"	-1.78410005801878	0.31710677581356
"Solyc08g007790"	"HMGS"	"MVA"	-0.243301958741256	0.998227020487924
"Solyc08g080160"	"HMGS"	"MVA"	NA	NA
"Solyc08g080170"	"HMGS"	"MVA"	-1.35097429004881	0.839363942408636
"Solyc12g056450"	"HMGS"	"MVA"	-1.03858839600136	0.772989981457048
"Solyc02g038740"	"HMGR"	"MVA"	-0.295398682302385	0.998227020487924
"Solyc02g082260"	"HMGR"	"MVA"	-0.290573631754691	0.998227020487924
"Solyc03g032010"	"HMGR"	"MVA"	NA	NA
"Solyc03g032020"	"HMGR"	"MVA"	-1.19571141985591	0.447398936677753
"Solyc01g098840"	"MVK"	"MVA"	-0.54022680435271	0.989080552008891
"Solyc08g076140"	"pMVK"	"MVA"	-0.14786521910541	0.998227020487924
"Solyc06g066310"	"pMVK"	"MVA"	-2.22563134611379	NA
"Solyc04g009650"	"MDC"	"MVA"	-0.335529112831812	0.998227020487924
"Solyc11g007020"	"MDC"	"MVA"	-1.32813090095983	0.647609084526146
"Solyc08g075390"	"Nudix"	"MVA"	-0.49608800617594	0.971906111244173
"Solyc04g005520"	"IPK"	"MVA"	0.442215522365003	0.935861929416562
