sample,genotype,group,replicate,plate,emission
245,245,F2,1,5,636717.25
244,244,F2,1,5,331113.75
243,243,F2,1,5,194038.25
242,242,F2,1,5,1152552.25
241,241,F2,1,5,249155.75
240,240,F2,1,5,1066460.75
239,239,F2,1,5,154487.75
238,238,F2,1,5,765345.75
218,218,F2,1,1,588718.5
217,217,F2,1,1,513061.5
215,215,F2,1,1,860086
209,209,F2,1,1,934047
208,208,F2,1,1,847732.5
206,206,F2,1,1,640142.5
205,205,F2,1,1,338827.5
204,204,F2,1,1,393738
203,203,F2,1,1,514868
201,201,F2,1,1,511705
200,200,F2,1,1,549399.5
198,198,F2,1,1,684732
195,195,F2,1,1,942330
192,192,F2,1,1,617697
191,191,F2,1,1,665763
189,189,F2,1,1,457197
188,188,F2,1,1,623869
185,185,F2,1,1,750694.5
184,184,F2,1,1,792153
183,183,F2,1,1,842366
182,182,F2,1,1,753799.5
181,181,F2,1,1,608630
179,179,F2,1,1,930057.5
178,178,F2,1,1,496538
177,177,F2,1,1,384320.5
176,176,F2,1,1,714859
175,175,F2,1,1,909161
173,173,F2,1,1,393621
172,172,F2,1,1,458971
171,171,F2,1,1,333561
169,169,F2,1,1,494677
168.2,168,F2,2,9,234136.75
168,168,F2,1,1,389056
167,167,F2,1,1,505740.5
166,166,F2,1,1,155709
165,165,F2,1,1,406458
164,164,F2,1,1,570062
163,163,F2,1,1,262227.5
162,162,F2,1,1,265457.5
160,160,F2,1,1,574426.5
159.3,159,F2,2,9,69680.75
159.2,159,F2,2,9,52837.25
159,159,F2,1,1,497634.5
158,158,F2,1,1,328092.5
157,157,F2,1,1,658622
156,156,F2,1,1,521102.5
155,155,F2,1,1,724720.5
154.2,154,F2,2,6,120844.75
154,154,F2,1,1,647049
153,153,F2,1,1,147611.5
152.2,152,F2,2,6,202064.25
152,152,F2,1,1,386111.5
151,151,F2,1,1,321306.5
150.2,150,F2,2,9,1489865.25
150,150,F2,1,2,1425249.5
149.2,149,F2,2,9,622157.25
149,149,F2,1,2,408184.5
148.2,148,F2,2,9,414450.75
148,148,F2,1,2,294921
147,147,F2,1,2,194081.5
145.2,145,F2,2,3,362332.25
145,145,F2,1,2,280363.5
144,144,F2,1,2,570107.5
142,142,F2,1,2,1388226
141,141,F2,1,2,649406
140,140,F2,1,2,637694
139,139,F2,1,2,146682.5
138,138,F2,1,2,870011.5
137,137,F2,1,2,610111.5
136.2,136,F2,2,3,341833.25
136,136,F2,1,2,471806
135,135,F2,1,2,1279466
134,134,F2,1,2,706388
